Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaEstadia,Ciudad,Atraccion,TituloReview
Noche mexicana de fiesta y diversión,"Ambiente muy de fiesta mexicana, te permite conocer ciertos platos y dulces tipicos de Mexico, ambiente cool con musica en vivo",desconocido,5,anonimo,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Noche mexicana de fiesta y diversión. Ambiente muy de fiesta mexicana, te permite conocer ciertos platos y dulces tipicos de Mexico, ambiente cool con musica en vivo."
Árbol de la vida,"Diego y edwin de la trajinera árbol de la vida fueron increíbles, fue nuestra primera ocasión de visita en xoximilco y superó nuestras expectativas, el lugar es increíble, el servicio excelente y la comida deliciosa, mil gracias a la mujeres bellas que nos prepararon la deliciosa comida, sin duda esperamos regresar pronto a Xoximilco",desconocido,5,anonimo,2025-08-01,Cancun,Xoximilco Cancun By Xcaret,"Árbol de la vida. Diego y edwin de la trajinera árbol de la vida fueron increíbles, fue nuestra primera ocasión de visita en xoximilco y superó nuestras expectativas, el lugar es increíble, el servicio excelente y la comida deliciosa, mil gracias a la mujeres bellas que nos prepararon la deliciosa comida, sin duda esperamos regresar pronto a Xoximilco."
Muy divertido,"La experiencia fue súper divertida, lo disfrutamos mucho. Había un poco de calor, por la temporada del año, pero eso no impidió que nos divirtieramos y bailaramos.",desconocido,5,Caribe,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Muy divertido. La experiencia fue súper divertida, lo disfrutamos mucho. Había un poco de calor, por la temporada del año, pero eso no impidió que nos divirtieramos y bailaramos."
Gracias por todo!,"Muy bonita la experiencia, tráiganse ropa cómoda porque el calorcito está deli!! Tuvimos la experiencia con francisco y Enrique y fue genial!!!",desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Gracias por todo!. Muy bonita la experiencia, tráiganse ropa cómoda porque el calorcito está deli!! Tuvimos la experiencia con francisco y Enrique y fue genial!!!."
animación,Las clases de bailes con la animadora Geidy. El yoga en la playa. Todo muy genial. Muy rica la carne de cerdo.  El servicio excelente. Excelente viaje.,desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,animación. Las clases de bailes con la animadora Geidy. El yoga en la playa. Todo muy genial. Muy rica la carne de cerdo.  El servicio excelente. Excelente viaje.
Es muy divertido,"Está espectacular el servicio, es muy lindo que resalten esta nuestra cultura y tradiciones, lo recomiendo 100%, regresaré en mi próximo cumpleaños y porque no solo a celebrar la buena vida.",desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Es muy divertido. Está espectacular el servicio, es muy lindo que resalten esta nuestra cultura y tradiciones, lo recomiendo 100%, regresaré en mi próximo cumpleaños y porque no solo a celebrar la buena vida."
Excelente,"Excelente servicio muy bien ambiente y guía , recomiendo totalmente, muy agusto, volvería otra ocasión sin duda alguna",desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Excelente. Excelente servicio muy bien ambiente y guía , recomiendo totalmente, muy agusto, volvería otra ocasión sin duda alguna."
Parques Xcaret hermosas experiencias,Fue una muy grata experiencia que en algún momento de mi vida repetiré y recomendaré a mis amigos y familiares para que disfruten de tan hermosa experiencia.,desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,Parques Xcaret hermosas experiencias. Fue una muy grata experiencia que en algún momento de mi vida repetiré y recomendaré a mis amigos y familiares para que disfruten de tan hermosa experiencia.
I LOVE XOCHIMILCO,"El ambiente, el espectáculo desde que entras al recinto, los animadores de cada trajinera, los mariachis cantando todos juntos en mitad del recorrido... Todo espectacular",desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"I LOVE XOCHIMILCO. El ambiente, el espectáculo desde que entras al recinto, los animadores de cada trajinera, los mariachis cantando todos juntos en mitad del recorrido... Todo espectacular."
Diversión al límite,La fiesta es increíble desde que llegas! El ambiente en la trajinera es super divertido. La música padrisima!  El animador muy servicial y divertido. Las instalaciones preciosas!,desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,Diversión al límite. La fiesta es increíble desde que llegas! El ambiente en la trajinera es super divertido. La música padrisima!  El animador muy servicial y divertido. Las instalaciones preciosas!.
Espectácular,"Espectacular, maravilloso.. La atención, la comida etc… Lo mejor de lo mejor, primera vez en Cancún y me llevo la mejor experiencia",desconocido,5,anonimo,2025-07-01,Cancun,Xoximilco Cancun By Xcaret,"Espectácular. Espectacular, maravilloso.. La atención, la comida etc… Lo mejor de lo mejor, primera vez en Cancún y me llevo la mejor experiencia."
Nos encantó esta experiencia,"Excelente experiencia de principio a fin.  Maravillosas instalaciones, el show es maravilloso,  el guía y el conductor de la trajinera fueron muy divertidos y atentos.",desconocido,5,"Bogotá, Colombia",2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"Nos encantó esta experiencia. Excelente experiencia de principio a fin.  Maravillosas instalaciones, el show es maravilloso,  el guía y el conductor de la trajinera fueron muy divertidos y atentos."
Maravilloso,"Todo excelente lo recomiendo,en el lugar nos trataron como en casa 100% recomendado para pasarla bien, faltaría agrega agua de regreso",desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"Maravilloso. Todo excelente lo recomiendo,en el lugar nos trataron como en casa 100% recomendado para pasarla bien, faltaría agrega agua de regreso."
Una experiencia inigualable!!!!,"Excepcional!! Súper divertida!!!Giovanni, nuestro acompañante durante la experiencia, divino. Hizo de la atracción una experiencia inolvidable.",desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"Una experiencia inigualable!!!!. Excepcional!! Súper divertida!!!Giovanni, nuestro acompañante durante la experiencia, divino. Hizo de la atracción una experiencia inolvidable."
An unforgettable night,"The atmosphere is very pleasant, you interact with the people who go on the trajinera, the staff members are very friendly.",desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"An unforgettable night. The atmosphere is very pleasant, you interact with the people who go on the trajinera, the staff members are very friendly."
"La verdad que sólo puedo decir que volvería las veces que pueda, porque el lugar no tiene de desperdicio","Que sigan abriendo las puertas a ese lugar, tan hermoso para que los visitan te puedan disfrutar de tantas cosas bonitas que tienen",desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"La verdad que sólo puedo decir que volvería las veces que pueda, porque el lugar no tiene de desperdicio. Que sigan abriendo las puertas a ese lugar, tan hermoso para que los visitan te puedan disfrutar de tantas cosas bonitas que tienen."
Fiesta not Siesta,Best time ever! The entertainment and food were top notch. I would recommend without hesitation.  You will love every second of it!,desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,Fiesta not Siesta. Best time ever! The entertainment and food were top notch. I would recommend without hesitation.  You will love every second of it!.
Great time,Great time will do again Freddy and alby great and wonderful people the food was great everything was great thank you so much for wonderful hospitality thank you for great service and good time,desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,Great time. Great time will do again Freddy and alby great and wonderful people the food was great everything was great thank you so much for wonderful hospitality thank you for great service and good time.
100 recomendable,"Todo muy bien, buen ubicado, agarre el tour para no manejar!!! Comida bien, trago a Full, si quieres algo más fresa igual se puede comprar, si lo recomiendo",desconocido,5,anonimo,2025-06-01,Cancun,Xoximilco Cancun By Xcaret,"100 recomendable. Todo muy bien, buen ubicado, agarre el tour para no manejar!!! Comida bien, trago a Full, si quieres algo más fresa igual se puede comprar, si lo recomiendo."
CUMPLEAÑOS MEGA INCREIBLE,"Fue mi cumpleaños y Josue y Cesar encargados de la trajinera me hciieron pasar un Cumpleaños Increíble, se los mega recomiendo.",desconocido,5,anonimo,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,"CUMPLEAÑOS MEGA INCREIBLE. Fue mi cumpleaños y Josue y Cesar encargados de la trajinera me hciieron pasar un Cumpleaños Increíble, se los mega recomiendo."
Unforgettable experience!!,"100% more than what I expected. Food was ok to taste the traditional Mexican dishes and drinks, and they have options for dietary restrictions. From the transportation to the end of the party, it was an excellent experience. Live music was incredible, facilities are beautiful, staff is polite and our guides Diego and Roberto from Viva Cancun Trajinera were outstanding!  Very nice experience! Worth every penny plus a good tip!",desconocido,5,anonimo,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,"Unforgettable experience!!. 100% more than what I expected. Food was ok to taste the traditional Mexican dishes and drinks, and they have options for dietary restrictions. From the transportation to the end of the party, it was an excellent experience. Live music was incredible, facilities are beautiful, staff is polite and our guides Diego and Roberto from Viva Cancun Trajinera were outstanding!  Very nice experience! Worth every penny plus a good tip!."
Xochimilco,"Visita, personal y guía son increíbles! Javier, el guía y Juan, el que llevaba el bote, hicieron que nuestra estadía fuera la mejor de todas. Hay que volver.",desconocido,5,Florida,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,"Xochimilco. Visita, personal y guía son increíbles! Javier, el guía y Juan, el que llevaba el bote, hicieron que nuestra estadía fuera la mejor de todas. Hay que volver."
Muy lindo lugar muy bien mantenido,Todo bien no nos sacamos las sesiones de fotos solo por la espera que había Bueno en una próxima si o si. Volveré en otra oportunidad,desconocido,5,anonimo,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,Muy lindo lugar muy bien mantenido. Todo bien no nos sacamos las sesiones de fotos solo por la espera que había Bueno en una próxima si o si. Volveré en otra oportunidad.
Felicidades,"Amazing experience, great drinks, Julio Caesar was fantastico and made the experience memorable and worth it. Can't wait to come again!",desconocido,5,anonimo,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,"Felicidades. Amazing experience, great drinks, Julio Caesar was fantastico and made the experience memorable and worth it. Can't wait to come again!."
Lástima!,"Todo parecía ir bien, la música bien, la comida y los paisajes re lindos el barco puebla bonito. Pero el encargado animador Alberto y el capitan ángel Miguel andaban en un pleito de nunca acabar. Llegó un momento que estuvo tenso el ambiente el animador Alberto no nos ponía atención por estar en el celular y el capitán se la pasaba chocándo a propósito para hacer enojar al otro y no le importaba que la gente se asustara por los golpes y por su cara de malo.Triste por que todo iba bien opino que no los pongan juntos por qué nos arruinaron la noche al menos a mi y mi familia. aun lado teníamos un barquito donde si se la estaban pasando bien.esperemos regresar.",desconocido,2,anonimo,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,"Lástima!. Todo parecía ir bien, la música bien, la comida y los paisajes re lindos el barco puebla bonito. Pero el encargado animador Alberto y el capitan ángel Miguel andaban en un pleito de nunca acabar. Llegó un momento que estuvo tenso el ambiente el animador Alberto no nos ponía atención por estar en el celular y el capitán se la pasaba chocándo a propósito para hacer enojar al otro y no le importaba que la gente se asustara por los golpes y por su cara de malo.Triste por que todo iba bien opino que no los pongan juntos por qué nos arruinaron la noche al menos a mi y mi familia. aun lado teníamos un barquito donde si se la estaban pasando bien.esperemos regresar."
Fantástico,Me encantó fue una experiencia única divertida emocionante es algo que volvería hacer las veces que pueda gracias por los mejores días y las mejores vacaciones,desconocido,5,anonimo,2025-05-01,Cancun,Xoximilco Cancun By Xcaret,Fantástico. Me encantó fue una experiencia única divertida emocionante es algo que volvería hacer las veces que pueda gracias por los mejores días y las mejores vacaciones.
My best Birthday gift,"This place is amazing love the service, music and interaction staff has towards the ride to make a great experience 🥰 the food is great",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"My best Birthday gift. This place is amazing love the service, music and interaction staff has towards the ride to make a great experience 🥰 the food is great."
The best time!,"I came here for my birthday and had the best time ever! I 1000 percent recommend! I will be coming back! The staff, park, food was great!",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"The best time!. I came here for my birthday and had the best time ever! I 1000 percent recommend! I will be coming back! The staff, park, food was great!."
Excelente animación,"La mejor Animación, Tony de la Trajinera de Campeche. Buena etiqueta, excelente energía y sentido del humor espectacular!",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"Excelente animación. La mejor Animación, Tony de la Trajinera de Campeche. Buena etiqueta, excelente energía y sentido del humor espectacular!."
Xoximilco lugar que debes visitar,"Gran ambiente familiar, cena deliciosa, el personal muy cordial, instalaciones increíbles. cuenta con accesibilidad para todos los visitantes.",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"Xoximilco lugar que debes visitar. Gran ambiente familiar, cena deliciosa, el personal muy cordial, instalaciones increíbles. cuenta con accesibilidad para todos los visitantes."
No te lo puedes perder,"Me encantó convivir con personas de diferentes lugares del país e internacionales, excelente calidad de alimentos, bebidas deliciosas, tequila suficiente.",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"No te lo puedes perder. Me encantó convivir con personas de diferentes lugares del país e internacionales, excelente calidad de alimentos, bebidas deliciosas, tequila suficiente."
Una excelente  semana y uno de las mejores noches en los parques del hotel xcaret,Una experiencia  formidable me dejo in buen sabor de boca  el como los chicos encargados de ambientar dan todo de ellos para que uno se divierta.,desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,Una excelente  semana y uno de las mejores noches en los parques del hotel xcaret. Una experiencia  formidable me dejo in buen sabor de boca  el como los chicos encargados de ambientar dan todo de ellos para que uno se divierta.
NO TE LO PUEDES PERDER,"Una de las experiencias más imperdibles que puedas tener ! Mucha música, ambiente, comida, bebida y bailes ! No recomiendo ir con bebés. Ya que el ambiente está bien activo.",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"NO TE LO PUEDES PERDER. Una de las experiencias más imperdibles que puedas tener ! Mucha música, ambiente, comida, bebida y bailes ! No recomiendo ir con bebés. Ya que el ambiente está bien activo."
Excelente experiencia,"Excelente servicio de parte de todo el personal, son personas muy atentas a las neceisdades del cliente. En especial agradecimiento a Hector y Richie que nos amenizaron el paseo.",desconocido,5,anonimo,2025-04-01,Cancun,Xoximilco Cancun By Xcaret,"Excelente experiencia. Excelente servicio de parte de todo el personal, son personas muy atentas a las neceisdades del cliente. En especial agradecimiento a Hector y Richie que nos amenizaron el paseo."
Good for a couple of hours,"This was a good way to get out of the heat for a couple of hours. As well as shopping, we visited Ripleys museum which was small but interesting and also went up the wheel which gave great views. From a shopping point of view they seemed to cater to both the high street and designer markets",desconocido,4,"Birmingham, UK",2025-08-01,Cancun,La Isla,"Good for a couple of hours. This was a good way to get out of the heat for a couple of hours. As well as shopping, we visited Ripleys museum which was small but interesting and also went up the wheel which gave great views. From a shopping point of view they seemed to cater to both the high street and designer markets."
La isla.,"Muy bonita la plaza, la experiencia en el carrito de golf increíble con Ricardo! Muy bonitas las tiendas que hay y muy amable la gente.",desconocido,5,anonimo,2025-07-01,Cancun,La Isla,"La isla. Muy bonita la plaza, la experiencia en el carrito de golf increíble con Ricardo! Muy bonitas las tiendas que hay y muy amable la gente."
Ricardo is excellent very hospitable,"Great service, fast and friendly service. Will definitely recommend to use. The mall is very spacious with many department stores this is a great amenity to have.",desconocido,5,anonimo,2025-06-01,Cancun,La Isla,"Ricardo is excellent very hospitable. Great service, fast and friendly service. Will definitely recommend to use. The mall is very spacious with many department stores this is a great amenity to have."
Hermoso complejo!!," Muy buen diseño,y explendor!! Es un espacio al aire libre , Locales muy bien puestos con aire acondicionado ,hermoso paseo y compras,todas las marcas. Lugares para tomar algo o comer ",desconocido,5,"Buenos Aires, Argentina",2025-06-01,Cancun,La Isla,"Hermoso complejo!!. Muy buen diseño,y explendor!! Es un espacio al aire libre , Locales muy bien puestos con aire acondicionado ,hermoso paseo y compras,todas las marcas. Lugares para tomar algo o comer."
Lindo pero no pierde el toque de tianguis,"Muy insistentes y fastidiosos los que ofrecen tours. Se entiende que están haciendo la labor para vender sus servicios, pero deben entender que uno “no gracias” significa no. Provocar e increpar no solo ahuyenta, sino que logra que se les mande a un baile a Chalma.",desconocido,3,"Ciudad de México, México",2025-05-01,Cancun,La Isla,"Lindo pero no pierde el toque de tianguis. Muy insistentes y fastidiosos los que ofrecen tours. Se entiende que están haciendo la labor para vender sus servicios, pero deben entender que uno “no gracias” significa no. Provocar e increpar no solo ahuyenta, sino que logra que se les mande a un baile a Chalma."
Place to have a good time with your loved ones 🙃✨,"This place is one where I like to spend time with my loved ones, starting in the aquarium and going through all the stalls to buy anything... at night life in roulette is incredible and the museum distracts not enough to attract attention but, it fulfills its objective of distracting... I recommend it",desconocido,3,"Cancún, México",2025-05-01,Cancun,La Isla,"Place to have a good time with your loved ones 🙃✨. This place is one where I like to spend time with my loved ones, starting in the aquarium and going through all the stalls to buy anything... at night life in roulette is incredible and the museum distracts not enough to attract attention but, it fulfills its objective of distracting... I recommend it."
🛍️⭐⭐⭐⭐⭐ “La Isla – Cancun’s Stylish Shopping Gem!”,"La Isla Shopping Village was a great surprise during our trip to Cancun! It’s a beautiful open-air shopping center with a relaxed, vacation vibe and a fantastic location right by the water.There’s a great variety of shops – from international brands to local boutiques – so whether you're after fashion, souvenirs, or skincare, you'll find something. The prices are very reasonable, actually quite similar to what you'd expect in Europe, which makes it easy to enjoy some guilt-free retail therapy.The staff in the shops were all super friendly and helpful, without being pushy – a nice touch that made browsing really enjoyable.Bonus points for the setting: the canals, fountains, and waterfront restaurants make it feel more like a resort than a mall.Whether you’re shopping, dining, or just strolling with a gelato, La Isla is definitely worth a visit if you're in Cancun!",desconocido,5,"Norte de Gales, UK",2025-04-01,Cancun,La Isla,"🛍️⭐⭐⭐⭐⭐ “La Isla – Cancun’s Stylish Shopping Gem!”. La Isla Shopping Village was a great surprise during our trip to Cancun! It’s a beautiful open-air shopping center with a relaxed, vacation vibe and a fantastic location right by the water.There’s a great variety of shops – from international brands to local boutiques – so whether you're after fashion, souvenirs, or skincare, you'll find something. The prices are very reasonable, actually quite similar to what you'd expect in Europe, which makes it easy to enjoy some guilt-free retail therapy.The staff in the shops were all super friendly and helpful, without being pushy – a nice touch that made browsing really enjoyable.Bonus points for the setting: the canals, fountains, and waterfront restaurants make it feel more like a resort than a mall.Whether you’re shopping, dining, or just strolling with a gelato, La Isla is definitely worth a visit if you're in Cancun!."
Con artists,"The YSL store is running a scam. I bought a nice purse there that they claimed would be tax free since I would receive credit in a few weeks on my American Express. I gave them tons of info including my social and flight info, I have never received my credit. DO NOT PURCHASE FROM THIS STORE!",desconocido,1,"Madison, MS",2025-04-01,Cancun,La Isla,"Con artists. The YSL store is running a scam. I bought a nice purse there that they claimed would be tax free since I would receive credit in a few weeks on my American Express. I gave them tons of info including my social and flight info, I have never received my credit. DO NOT PURCHASE FROM THIS STORE!."
Large outdoor shopping mall,"What a great place to visit, if only to avoid the heat. This is a large outdoor shopping mall with many high end designer shops. Everything from Prada, Louis Vuitton, to Burberry and Armani. They offer multiple restaurants found throughout the mall. With the temperature on the rise, we found ourselves visiting the gelato shop twice during our time here. Maybe next time we’ll look into the Ferris wheel. You’d probably get some nice elevated photos of the mall and the lagoon.",desconocido,5,"Fort Wayne, IN",2025-03-01,Cancun,La Isla,"Large outdoor shopping mall. What a great place to visit, if only to avoid the heat. This is a large outdoor shopping mall with many high end designer shops. Everything from Prada, Louis Vuitton, to Burberry and Armani. They offer multiple restaurants found throughout the mall. With the temperature on the rise, we found ourselves visiting the gelato shop twice during our time here. Maybe next time we’ll look into the Ferris wheel. You’d probably get some nice elevated photos of the mall and the lagoon."
Very Nice Mall,"This is a very nice shopping mall with luxury stores. A good place to explore, do some shopping, grab a snack or a drink, and continue with the day's plans.",desconocido,4,Miami,2025-04-01,Cancun,La Isla,"Very Nice Mall. This is a very nice shopping mall with luxury stores. A good place to explore, do some shopping, grab a snack or a drink, and continue with the day's plans."
Good place to go to escape the heat and the sun,"We came here mid-day our first day to escape the bright sun and mid-day heat. The shopping center is very pretty.We went into the Lego store, got fish pedicures, went on the Ferris Wheel (air conditioned) and went to the Ripley's Believe it or Not Museum ($3 more with the ticket to the ferris wheel).",desconocido,5,"Chicago, IL",2025-03-01,Cancun,La Isla,"Good place to go to escape the heat and the sun. We came here mid-day our first day to escape the bright sun and mid-day heat. The shopping center is very pretty.We went into the Lego store, got fish pedicures, went on the Ferris Wheel (air conditioned) and went to the Ripley's Believe it or Not Museum ($3 more with the ticket to the ferris wheel)."
Mis Vacas,Excelente y con ganas de  de volver para conocer nuevos lugares que no recorríEra necesario tener un lindo descanso en  plato del Carmen,desconocido,5,anonimo,2025-03-01,Cancun,La Isla,Mis Vacas. Excelente y con ganas de  de volver para conocer nuevos lugares que no recorríEra necesario tener un lindo descanso en  plato del Carmen.
A nice outdoor mall... for the most part.,"Nice outdoor mall with a good selection of stores.  Security is very visible.  We went on the Ferris Wheel and ate at Johnny Rockets and grabbed coffee at Starbucks.  Just 1 salesperson yelled at us to try and sell us something.  Overall, a good experience.  The only negative thing I have to say about the mall is the disgusting dolphin experience they have at their aquarium.  They really need to join the 21st century and ban that basura.  :'(",desconocido,3,"Northbrook, IL",2025-03-01,Cancun,La Isla,"A nice outdoor mall... for the most part. Nice outdoor mall with a good selection of stores.  Security is very visible.  We went on the Ferris Wheel and ate at Johnny Rockets and grabbed coffee at Starbucks.  Just 1 salesperson yelled at us to try and sell us something.  Overall, a good experience.  The only negative thing I have to say about the mall is the disgusting dolphin experience they have at their aquarium.  They really need to join the 21st century and ban that basura.  :'(."
Nice shopping complex,"1st time visit to this complex, a great selection of shops from very high end to more of the everyday shops.Very clean and felt very safe, with security patrolling the complex. Various places to eat/drink and an aquarium and a fairground big wheel.Well worth a trip.",desconocido,5,"Essex, UK",2025-03-01,Cancun,La Isla,"Nice shopping complex. 1st time visit to this complex, a great selection of shops from very high end to more of the everyday shops.Very clean and felt very safe, with security patrolling the complex. Various places to eat/drink and an aquarium and a fairground big wheel.Well worth a trip."
La isla muy buen shopping,"Tiene marcas como HYM, BERSKA, PULL & BEAR, Nike, ADIDAS,CROCS tienen buenas promociones y se puede pagar con dólares o tarjetas de débito o crédito",desconocido,4,"Buenos Aires, Argentina",2025-02-01,Cancun,La Isla,"La isla muy buen shopping. Tiene marcas como HYM, BERSKA, PULL & BEAR, Nike, ADIDAS,CROCS tienen buenas promociones y se puede pagar con dólares o tarjetas de débito o crédito."
Hermoso ,"Hermoso shopping que armoniza espacios de diversión , compras y muy buenos restaurantes, de variadas comidas. Hermosa la fuente y el puente. La limpieza excepcional",desconocido,5,anonimo,2025-01-01,Cancun,La Isla,"Hermoso. Hermoso shopping que armoniza espacios de diversión , compras y muy buenos restaurantes, de variadas comidas. Hermosa la fuente y el puente. La limpieza excepcional."
Very limited wheelchair scooter and stroller accessible,Wheelchair access always and issue and strollers 3 times in 1.5 years always have an issue with one of the elevators so you can’t access La Isla 1 to La Isla 2 … try another mall for accessibility,desconocido,1,"Montreal, Canadá",2025-01-01,Cancun,La Isla,Very limited wheelchair scooter and stroller accessible. Wheelchair access always and issue and strollers 3 times in 1.5 years always have an issue with one of the elevators so you can’t access La Isla 1 to La Isla 2 … try another mall for accessibility.
