Titulo,Review,Calificacion,FechaEstadia,Ciudad,Atraccion,TituloReview,TituloReviewLimpio,SentimientoPorCalificacion,SentimientoPorHF,SentimientoPorCardiff,SubjetividadConHF,SubjetividadConFrases,SubjetividadConLLM,TopicoConBERTopic,TopicoConFASTopic,labels_parsed,num_labels,TopicoConLLM_gpt-4o-mini,TopicoConLLM_gpt-4.1-mini
"Cerca del aeropuerto, hermosa playa y muchas pequeñas tiendas.","Hay mucho que ver. Domingo en el parque con vendedores y comida fantástica. Hay un McDonald's justo al otro lado de la calle y está abierto las 24 horas, los 7 días de la semana, para que tengas café y coca cola al alcance de tu mano. Simplemente una zona hermosa.",5,2024-04-01,Mazatlan,Malecon De Mazatlan,"Cerca del aeropuerto, hermosa playa y muchas pequeñas tiendas. Hay mucho que ver. Domingo en el parque con vendedores y comida fantástica. Hay un McDonald's justo al otro lado de la calle y está abierto las 24 horas, los 7 días de la semana, para que tengas café y coca cola al alcance de tu mano. Simplemente una zona hermosa.",cerca del aeropuerto playa y mucho tienda haber mucho que ver domingo en el parque con vendedor y comida haber uno mcdonald s al otro lado de el calle y este el hora el dia de el semana para que tengar cafar y coca al alcance de tu mano simplemente uno zona,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[1, 5, 8]",3,"[0, 1, 5]","[1, 5, 8]"
"Bonitas vistas, fácil paseo.","El Malecón es un agradable paseo junto al océano con hermosas vistas y fácil acceso a las playas. El paseo marítimo es limpio y amplio, pero puede hacer calor durante el día y no hay mucha sombra. Hay varias estatuas y monumentos a lo largo del camino, aunque es decepcionante que aquellos con elementos de agua y fuentes no tuvieran agua. La caminata lo llevará más allá de los clavadistas; sí, es turístico, aunque increíble de ver. Las tiendas y restaurantes/bares están al otro lado de una calle muy transitada que requiere paciencia y tomar decisiones rápidas para cruzar. Cuando has caminado todo lo que quieres es fácil que una pulmonía te lleve de regreso o a tu siguiente parada.",4,2024-03-01,Mazatlan,Malecon De Mazatlan,"Bonitas vistas, fácil paseo. El Malecón es un agradable paseo junto al océano con hermosas vistas y fácil acceso a las playas. El paseo marítimo es limpio y amplio, pero puede hacer calor durante el día y no hay mucha sombra. Hay varias estatuas y monumentos a lo largo del camino, aunque es decepcionante que aquellos con elementos de agua y fuentes no tuvieran agua. La caminata lo llevará más allá de los clavadistas; sí, es turístico, aunque increíble de ver. Las tiendas y restaurantes/bares están al otro lado de una calle muy transitada que requiere paciencia y tomar decisiones rápidas para cruzar. Cuando has caminado todo lo que quieres es fácil que una pulmonía te lleve de regreso o a tu siguiente parada.",vistas pasear el malecon ser uno paseo al oceano con vistas y acceso a el playa el paseo ser y pero poder hacer calor durante el dia y no haber mucho sombra haber varios estatua y monumento a él del camino aunque ser que aquel con elemento de agua y fuente no tener agua el caminata él llevar mas alla de el clavadista si ser aunque de ver el tienda y restaurante bar estar al otro lado de uno calle mucho que requerir paciencia y tomar decisión para cruzar cuando haber caminar todo él que querer ser que uno pulmonia tú llevar de regreso o a tu parada,Positivo,Positivo,Negativo,Subjetivo,Mixta,Mixta,,Miradores y paseos panorámicos,"[2, 4, 8, 9]",4,"[2, 5, 8, 9]","[2, 4, 5, 6, 9]"
Mazatlán es hermoso,Denunciamos un condominio increíble justo en el Malecón. Ventanas de piso a techo. Estamos muy contentos de haber traído binoculares para ampliar las diversas actividades en el área. Nos encanta este lugar. Muy amigable y seguro. Es un poco ruidoso pero es la vida de la ciudad que pasa.,5,2024-03-01,Mazatlan,Malecon De Mazatlan,Mazatlán es hermoso. Denunciamos un condominio increíble justo en el Malecón. Ventanas de piso a techo. Estamos muy contentos de haber traído binoculares para ampliar las diversas actividades en el área. Nos encanta este lugar. Muy amigable y seguro. Es un poco ruidoso pero es la vida de la ciudad que pasa.,mazatlar ser hermoso denunceír uno condominio increible justo en el malecon ventana de piso a techo estar mucho contento de haber traer binocular para ampliar el diverso actividad en el area yo encantar este lugar mucho amigable y seguro ser uno poco ruidoso pero ser el vida de el ciudad que pasar,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[0, 11, 13]",3,"[0, 10, 11]","[0, 10, 11]"
Largo y silencioso,"12 millas de excelentes vistas de la playa y el océano, y algunos bares en la playa de abajo. Principalmente hoteles y condominios al otro lado. Frente al PV Malecón, que cuenta con muchas tiendas y bares. No es lo que esperaba.",3,2024-02-01,Mazatlan,Malecon De Mazatlan,"Largo y silencioso. 12 millas de excelentes vistas de la playa y el océano, y algunos bares en la playa de abajo. Principalmente hoteles y condominios al otro lado. Frente al PV Malecón, que cuenta con muchas tiendas y bares. No es lo que esperaba.",y milla de vistas de el playa y el oceano y alguno bar en el playa de abajo principalmente hotel y condominio al otro lado frente al pv malecon que contar con mucho tienda y bar no ser él que esperar,Neutro,Positivo,Positivo,Objetivo,Mixta,Mixta,,Playas y entorno natural,"[0, 1, 5, 9]",4,"[0, 5, 8, 9]","[0, 5, 7, 9]"
Experiencia Malecón,Siempre es un maravilloso paseo por el Malecón. Hay muchos lugares para comer y muchos lugares para contemplar el atardecer. También hay multitud de tiendas donde tomar una cerveza o una bebida y snacks para disfrutar mientras descansas o caminas. De vez en cuando se le acercará un vendedor de excursiones que podría ofrecerle algo para comprar. No es un problema si no les compras.,5,2024-02-01,Mazatlan,Malecon De Mazatlan,Experiencia Malecón. Siempre es un maravilloso paseo por el Malecón. Hay muchos lugares para comer y muchos lugares para contemplar el atardecer. También hay multitud de tiendas donde tomar una cerveza o una bebida y snacks para disfrutar mientras descansas o caminas. De vez en cuando se le acercará un vendedor de excursiones que podría ofrecerle algo para comprar. No es un problema si no les compras.,experiencia siempre ser uno maravilloso paseo por el malecon haber mucho lugar para comer y mucho lugar para contemplar el atardecer tambien haber multitud de tienda donde tomar uno cerveza o uno bebida y snack para disfrutar mientras descansa o caminar de vez en cuando él él acercar uno vendedor de excursión que podriar ofrecer él algo para comprar no ser uno problema si no él comprar,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[1, 5, 8]",3,"[1, 5]","[1, 5, 10]"
Bien vale la pena el paseo pero se puede disfrutar igualmente pulmonía.,"Una caminata larga y calurosa pero recomendable 👌Si elige utilizar el transporte para verlo, se perderá algunas características interesantes, como los restaurantes junto al mar.",5,2024-01-01,Mazatlan,Malecon De Mazatlan,"Bien vale la pena el paseo pero se puede disfrutar igualmente pulmonía. Una caminata larga y calurosa pero recomendable 👌Si elige utilizar el transporte para verlo, se perderá algunas características interesantes, como los restaurantes junto al mar.",bien valer el pena el paseo pero él poder disfrutar igualmente pulmonia uno caminata y pero si elegir utilizar el transporte para ver él él perdera alguno caracteristica como el restaurante al mar,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Mixta,,Miradores y paseos panorámicos,"[1, 2]",2,"[1, 2]","[1, 2, 9]"
Paseando por el Malecón,El Malecón es un paseo bien construido que recorre la playa. Es bastante largo y si te gusta caminar… es una estupenda forma de hacerlo. Era un ambiente seguro y genial si también te gusta observar a la gente.,5,2024-01-01,Mazatlan,Malecon De Mazatlan,Paseando por el Malecón. El Malecón es un paseo bien construido que recorre la playa. Es bastante largo y si te gusta caminar… es una estupenda forma de hacerlo. Era un ambiente seguro y genial si también te gusta observar a la gente.,pasear por el malecon el malecon ser uno paseo bien construido que recorrer el playa ser bastante largo y si tú gustar caminar ser uno estupendo forma de hacer él ser uno ambiente seguro y genial si tambien tú gustar observar a el gente,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Playas y entorno natural,"[8, 11]",2,"[8, 11]","[8, 9, 11]"
Podría ser mejor,"Mazatlán es hermoso, comida deliciosa, atardeceres únicos.Pero la razón por la que le di 3 estrellas.Es porque tienen muy mala educación Peatonal, incluso los conductores de Uber y los taxis aceleraban como locos.Literalmente tienes que correr cuandocruzar las calles.Hermoso puerto gente incivilida al manejar.",3,2023-11-01,Mazatlan,Malecon De Mazatlan,"Podría ser mejor. Mazatlán es hermoso, comida deliciosa, atardeceres únicos.Pero la razón por la que le di 3 estrellas.Es porque tienen muy mala educación Peatonal, incluso los conductores de Uber y los taxis aceleraban como locos.Literalmente tienes que correr cuandocruzar las calles.Hermoso puerto gente incivilida al manejar.",podrio ser mazatlar ser hermoso comida deliciós atardecer unico pero el razon por el que él dar estrella ser porque tener mucho malo educacion peatonal incluso el conductor de uber y el taxi acelerar como loco literalmente tener que correr cuandocruzar el calle hermoso puerto gente incivilido al manejar,Neutro,Neutro,Negativo,Subjetivo,Mixta,Mixta,,Servicios y atención turística,"[1, 2, 11]",3,"[1, 2, 11]","[1, 2, 11]"
Muy agradable,"Bonita zona pavimentada, con algunas buenas esculturas repartidas a lo largo del camino. Incluso puedes pasar junto a los saltadores de acantilados si quieres verlos, pero avanza rápidamente antes de que te pidan una propina. También está, por supuesto, el cartel de MAZATLÁN para que te hagas un selfie si consigues un lugar. Bastante fácil de atravesar tierra adentro para tiendas y comida.",4,2023-11-01,Mazatlan,Malecon De Mazatlan,"Muy agradable. Bonita zona pavimentada, con algunas buenas esculturas repartidas a lo largo del camino. Incluso puedes pasar junto a los saltadores de acantilados si quieres verlos, pero avanza rápidamente antes de que te pidan una propina. También está, por supuesto, el cartel de MAZATLÁN para que te hagas un selfie si consigues un lugar. Bastante fácil de atravesar tierra adentro para tiendas y comida.",mucho zona pavimentado con alguno buena escultura repartido a él largo del camino incluso poder pasar junto a el saltador de acantilado si querer ver él pero avanzar rapidamente antes de que tú pedir uno propina tambien este por supuesto el cartel de mazatlan para que tú hagar uno selfie si consigues uno lugar bastante facil de atravesar tierra adentro para tienda y comida,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[1, 5, 8]",3,"[1, 5, 6]","[5, 6]"
¡Me trae recuerdos de hace 50 años!,"Estuvimos aquí hace mucho tiempo (como 1973) y teníamos un motel justo enfrente del Malecón. Íbamos a la playa todos los días, pero nunca caminábamos por el Malecón. Toda la zona ha cambiado mucho. Ahora, como ciudadanos mayores, éramos demasiado mayores para recorrer el camino largo, pero negociamos un trato con un conductor de Pulmonia y tuvimos un recorrido interesante a lo largo del Malecón. Amy, nuestra conductora, contó historias interesantes.Fue un hermoso viaje.",4,2023-11-01,Mazatlan,Malecon De Mazatlan,"¡Me trae recuerdos de hace 50 años!. Estuvimos aquí hace mucho tiempo (como 1973) y teníamos un motel justo enfrente del Malecón. Íbamos a la playa todos los días, pero nunca caminábamos por el Malecón. Toda la zona ha cambiado mucho. Ahora, como ciudadanos mayores, éramos demasiado mayores para recorrer el camino largo, pero negociamos un trato con un conductor de Pulmonia y tuvimos un recorrido interesante a lo largo del Malecón. Amy, nuestra conductora, contó historias interesantes.Fue un hermoso viaje.",yo traer recuerdo de hacer ano estuvir aqui hacer mucho tiempo como y teniar uno motel enfrente del malecon ibar a el playa todo el dia pero nunca caminabar por el malecon todo el zona haber cambiar mucho ahora como ciudadano mayor erar demasiado mayor para recorrer el camino largo pero negociar uno trato con uno conductor de pulmonia y tener uno recorrido interesante a él largo del malecon amy nuestro conductor conto historia interesante ser uno hermoso viaje,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[2, 4, 8]",3,"[2, 4]","[2, 4, 9, 10]"
"¡¡El mejor viaje!! Me encantó Mazatl n, Sinaloa <3","Me alojé en El Cid El Moro Beach Hotel y me encantó, me gustó lo cerca que estaba la playa de nosotros y la comida también era bastante buena. Definitivamente me quedaría allí otra vez. También fuimos a visitar El Cid Marina Beach Hotel y el equipo de actividades fue súper amable y ¡realmente disfrutamos pasar tiempo con ellos en el área de actividades! ! ¡Ángel, Ricardo, Enrique, Ramón y Jesús en el área de actividades son personas realmente divertidas! ! 10/10 recomendaría visitar.",5,2023-06-01,Mazatlan,Malecon De Mazatlan,"¡¡El mejor viaje!! Me encantó Mazatl n, Sinaloa <3. Me alojé en El Cid El Moro Beach Hotel y me encantó, me gustó lo cerca que estaba la playa de nosotros y la comida también era bastante buena. Definitivamente me quedaría allí otra vez. También fuimos a visitar El Cid Marina Beach Hotel y el equipo de actividades fue súper amable y ¡realmente disfrutamos pasar tiempo con ellos en el área de actividades! ! ¡Ángel, Ricardo, Enrique, Ramón y Jesús en el área de actividades son personas realmente divertidas! ! 10/10 recomendaría visitar.",el viaje yo encantar mazatl n sinaloa yo aloje en el cid el moro beach hotel y yo encantar yo gusto él cerca que estar el playa de yo y el comida tambien ser bastante buen definitivamente yo quedariar alli otro vez tambien ir a visitar el cid marina beach hotel y el equipo de actividad ser super amable y realmente disfrutar pasar tiempo con él en el area de actividad angel ricardo enrique ramon y jesus en el area de actividad ser persona realmente divertido recomendario visitar,Positivo,Positivo,Positivo,Subjetivo,Mixta,Mixta,,Vida nocturna y gastronomía,"[0, 1, 10]",3,"[0, 1, 10]","[0, 1, 6, 9, 10]"
Muy bonito muy entretenido y muy cuidado,"Muy bonito muy entretenido y muy cuidado, esperemos que siga en las mismas condiciones, toda la parte que se puede caminar está iluminada",5,2022-09-01,Mazatlan,Malecon De Mazatlan,"Muy bonito muy entretenido y muy cuidado. Muy bonito muy entretenido y muy cuidado, esperemos que siga en las mismas condiciones, toda la parte que se puede caminar está iluminada.",mucho mucho y mucho cuidado mucho mucho y mucho cuidado esperar que seguir en el mismo condición todo el parte que él poder caminar este,Positivo,Positivo,Positivo,Subjetivo,Subjetivo,Subjetiva,,Miradores y paseos panorámicos,[13],1,[8],"[8, 11]"
