TituloReview,Ciudad,Clasificacion_Subjetividad,TotalFrases,FrasesSubjetivas,FrasesObjetivas,ClasificacionPorFrases,EsMixta,PorcentajeSubjetivo,PorcentajeObjetivo
"Visita imperdible Excelente, muy ordenada el recorrido y explicativo.Una demostracion de avanzado de las culturas mezoamericanas. Para recorrer en una mañana sin apuro",CDMX,Mixta,4,4,0,Subjetivo,False,100.0,0.0
"Visita muy recomendada, Lugar relajante, vista hermosa de la ciudad, a veces tiene espectáculos nocturnos, puedes caminar por sus alrededores, me encanta la replica en escala del monumento a la Revolución, el café punta de cielo que está ahí es excelente, lo único malo son los mosquitos.",Puebla,Mixta,1,1,0,Subjetivo,False,100.0,0.0
"Excelente Perfecto muy padre todo, el capitán Fox muy atento y amable en todo momento, gran persona y profesional en su trabajo, ayudó a mi novia todo el tiempo",Cancun,Subjetiva,2,1,1,Mixta,True,50.0,50.0
"Bonita playa Tienes que caminar por escalones escarpados para llegar hasta aquí. No hay vendedores ni comida en la playa, así que tráelo contigo. El agua es agradable pero hay olas.",Puerto Vallarta,Mixta,4,1,3,Mixta,True,25.0,75.0
"Cute-ish but not worth the time at all if just visiting CDMX. Cute and semi-interesting but nowhere near as nice as Condesa, Polanco, Roma, and Centro. Food was generally worse than those 3 places but pricier too, which I’m confused about. We ate at a Taco stand and it was 3x what we paid for a way better Taco stand in Condesa. Churros I saw ppl holding looked burnt. We also checked out the coyote zoo which was sparse and wolf exhibit was completely blocked off.Expensive uber ride down and back, expensive very mid food, architecture very mid (it’s a fine cute small town for ppl to live in maybe like boring burbs). Dirtier than the areas closer to downtown with the exception of centro, however centro has the most to see in terms of architecture and art. Really not worth visiting even with extra time during your visit.We came here so you don’t have to.",CDMX,Subjetiva,11,6,5,Mixta,True,54.54545454545454,45.45454545454545
"Edificio importante, pero no impresionante. Para concluir el recorrido de hoy, mi esposo y yo visitamos la catedral, más significativa como un foco importante para la gente de Puebla que como un ejemplo de arquitectura y decoración interesantes. Encontramos una estructura imponente con altos techos abovedados y las esperadas capillas a varios santos que bordean la nave. Según los estándares del barroco mexicano, la decoración es sobria.",Puebla,Mixta,4,2,2,Mixta,True,50.0,50.0
Visita amigos Muy buena excelente ambiente y la gente es muy amable la experiencia de verdad vale la pena visitar este lugar,Mazatlan,Subjetiva,4,2,2,Mixta,True,50.0,50.0
"A great place to walk We have stayed in Marina Vallarta on several previous occassions. A walk along the marina allows you to see the restaurants, shops and the boats in the marina. Sometimes crocs are visible in the water and along the shorline rocks.",Puerto Vallarta,Mixta,4,1,3,Mixta,True,25.0,75.0
"Interesante Muy bonito el museo sin duda, lamentablemente por la pandemia no están disponibles algunas funciones interactivas, muestra muchísimo sobre la influencia barroca en Puebla, realmente es una visita recomendable para conocer algo de historia y arte.",Puebla,Mixta,3,3,0,Subjetivo,False,100.0,0.0
"Cuidemos las playas publicas Visité Playa Tortugas en Diciembre con mi familia en temporada alta, obviamente había bastante gente, fiesta, ruido y basura... tanto que me recordó al Acapulco de hoy, es una pena que un lugar tan bello se esté deteriorando por la irresponsabilidad de la gente que la visita. Llegando al estacionamiento olía raro, feo por no decir mas, pero decidimos conocer esta playa por su ubicación y por ser de las pocas playas publicas con oleaje tranquilo y servicios de comida y baños en la zona hotelera.La playa es pequeña con oleaje ideal para niños o nadadores principiantes y aun conserva los colores turquesa del Caribe mexicano, pero al tener una terminal de ferrys rumbo a Isla Mujeres se concentra mayor gente y por ende contaminación. Nade un buen rato en la playa y me dio gusto ver algunos peces y otros animalitos marinos en las rocas cercanas al risco de piedras, pero mientras nadaba y caminaba por la playa, recogí vasos de plástico, popotes, latas de cerveza y envolturas de frituras y solo encontré 2 botes de basura en el acceso principal a la playa !!!Creo que a Cancun le hace falta urgentemente mejores medidas de cuidado y protección ambiental, limpieza de playas, prohibición de popotes y plásticos y sobretodo un programa efectivo de educación ambiental para todos los que visitamos esas hermosas playas caribeñas, y digo urgente porque va en detrimento la flora, fauna y belleza de la región, así como hace años empezó el deterioro de aquel bello Acapulco... ""Pongamos nuestro granito de arena cada uno y logremos el cambio""Gracias!",Cancun,Mixta,6,4,2,Mixta,True,66.66666666666666,33.33333333333333
"Visita recomendada, muy interesante. Este es un museo de sitio muy interesante y completo. La visita parte con la vista de una maqueta del complejo, luego un recorrido por la zona excavada, para terminar dentro del museo donde se resguardan las piezas encontradas. Fue una muy grata sorpresa, ya que no esperaba encontrar tanta historia y la oportunidad de recorrer un sitio arqueológico que se encuentra aún en excavación, literalmente en medio de la ciudad. Sinceramente, una de las experiencias que más me gustó en mi visita a esta ciudad.",CDMX,Mixta,5,4,1,Mixta,True,80.0,20.0
"PARA CAMINAR Lugar al norte de la ciudad, relativamente cerca del aeropuerto y punto de atracado de yates y embarcaciones pequeñas. Cuenta con almacenes y restaurantes y un buen espacio para un paseo al atardecer.",Puerto Vallarta,Mixta,3,0,3,Objetivo,False,0.0,100.0
"Restaurante Faro 360 Haga muchos restaurantes maravillosos, camine hasta la parte superior de Light House para un restaurante de 360 grados. Buena comida, vista increíble y muy divertido. Ascensor para los que no quieren la aventura del paseo.",Puerto Vallarta,Mixta,4,2,2,Mixta,True,50.0,50.0
"Isla de la piedra Hola ChicosYo viaje desde el hotel Playa Marina a la Isla de la piedra.Tome enfrente del hotel el camión Sábalo-centro el cual cobra $11 pesos por persona y me bajé hasta la terminal del camión que se encuentra entre el mirador y e faro, fui y conocí la terminal del Ferry y a un lado se encuentra EL EMBARCADERO SUR en el cual salen lanchas cada 5 minutos, el costo es de 30 pesos por persona ida y vuelta. Tarda aproximadamente 5 minutos en llegar a la isla. Puedes llevar refrescos, frituras o lo que gustes, hay muchos negocios de comida los precios varían desde $80 pesos hasta $400, los refrescos $25. Puedes durar todo el día con la mesa, sillas y sombrilla. Te dejan que tengas lo que tú hayas llevado de alimentos. Es un lugar de mucho turismo, pero es una playa muyyyyyy extensa de manera que puedes estar donde hay mucha gente o te pudes ir aun lugar apartado. La última lancha sale a las 7:00 de la noche de la isla hacia Mazatlán",Mazatlan,Mixta,10,2,8,Mixta,True,20.0,80.0
Exelente todo Muy bien. Todo limpio los animales muy bien cuidado tener un poco más de platicas y el personal muy bien. Exelente y muy bien todo,Puebla,Subjetiva,4,4,0,Subjetivo,False,100.0,0.0
"Me gusto mucho como es que está y que puedes tomar y comer lo que gustes aunque sería bueno que haya restaurante y baños Es muy relajante y con mucha buen entretenido y es un buen lugar de descansar ,además que puedes nadar y estar mucho tiempo o el tiempo que desees",Mazatlan,Mixta,2,2,0,Subjetivo,False,100.0,0.0
"comprando mariscos Fui al viejo Mazatlán a comprar mariscos y fui a un puesto en la esquina más alejada del marcado. El mahi mahi y las gambas estaban bien, ¡pero las ""vieiras"" eran absolutamente atroces! Cuando regresamos a nuestra habitación y los abrimos para prepararlos, estaban duros y no opacos, casi como si hubieran sido demasiado cocidos, pero se suponía que eran vieiras crudas. No satisfecho en absoluto. Tenga mucho cuidado al comprar pescados y mariscos y asegúrese de vigilar todo el tiempo que se embolsan o empaquetan.",Mazatlan,Mixta,6,3,3,Mixta,True,50.0,50.0
"RECEPCIÔN PORQUERÍA POR SEÑORA KARINA ARCE El servicio de recepción que la señora Karina Arce ofrece en módulo es una porquería, como persona tiene cero intenciones de hacer su único trabajo que es atender al público, demasiado elitista y poco servicial, no se interesa si quiera en escuchar, le importa poco mirarte con cara de asco y ni hablar de sus pocas y agresivas respuestas. Por otro lado, Jorge Moo y Joshelin Chio fueron sumamente comprensivos con la situación, pudimos dialogar y gracias a sus atenciones podría reconsiderar hacer uso del servicio, si fuera por Karina Arce la empresa se hunde al hoyo.",Cancun,Subjetiva,3,2,1,Mixta,True,66.66666666666666,33.33333333333333
"grandprix todo estuvo muy bonito .. Santiago, Vanesa y Eli personas muy atentas y amables ... la vista es muy hermosa 😊 una experiencia maravillosa",Cancun,Subjetiva,6,4,2,Mixta,True,66.66666666666666,33.33333333333333
"Gran Catedral Catedral enorme en zona muy transitada de la ciudad. Había gente por todo este lugar, ya que estaba bien adornado y se mantenía muy limpio y listo para los visitantes. Tenía un carácter sagrado, pero no muchos parecían adherirse o notarlo. Gran vista exterior desde el lateral o frontal.",Mazatlan,Mixta,5,0,5,Objetivo,False,0.0,100.0
"Playa muy tranquila Pasamos en esta playa el primer día del 2021 y es hermosa. Un oleaje muy suave. Es limpia y está muy bien cuidada. Hay un letrero que prohíbe el ambulantaje, pero los vendedores se lo pasan por el arco del triunfo.Lo malo es que no hay baños públicos.",Puerto Vallarta,Mixta,6,4,2,Mixta,True,66.66666666666666,33.33333333333333
"Hermosa iglesia antigua Esta hermosa iglesia antigua estaba cerrada, así que volvimos otro día. Disfrutamos paseando por la zona, mirando a la gente.",Mazatlan,Mixta,3,3,0,Subjetivo,False,100.0,0.0
Lugar interesante y pintoresco Visité como parte de un viaje de un día. Bonita playa y vendedores locales. Lugar muy colorido. La gente era amigable.,Puerto Vallarta,Mixta,5,4,1,Mixta,True,80.0,20.0
"Precioso lugar pero muy caro PLAYA PRECIOSA, muchos tours, baños, etc.Precios carismas, es lo único maloHay muchos hoteles en las orillasPlaya tranquila, donde se puede bañar o estar en la playa observando el mar",Cancun,Mixta,5,3,2,Mixta,True,60.0,40.0
"Regular No me agrado el horario cuando entramos a las 11 am ya que los que pagan entrada a las 8 y 9 am acaparan todas las actividades con los animales, también el aforo con grupos de escuela hacen que el recorrido se dificulte por el espacio reducido.",CDMX,Mixta,2,1,1,Mixta,True,50.0,50.0
"Largo y silencioso 12 millas de excelentes vistas de la playa y el océano, y algunos bares en la playa de abajo. Principalmente hoteles y condominios al otro lado. Frente al PV Malecón, que cuenta con muchas tiendas y bares. No es lo que esperaba.",Mazatlan,Mixta,4,1,3,Mixta,True,25.0,75.0
"La capilla más bella de México Esta capilla es absolutamente hermosa, de esas cosas que cuando las ves por primera vez te dejan absolutamente maravillado y sorprendido por su belleza.",Puebla,Subjetiva,2,2,0,Subjetivo,False,100.0,0.0
"Agradable lugar Excelente lugar para pasear ! Incluso ahorita con el tema de pandemia, es un lugar hermoso para pasear a los pequeños",Puebla,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"Don’t Go! Don’t go-  La Isla is going through construction and I made mistake of taking visiting family to see the sunset and have dinner.  We missed sunset because the parking deck elevator didn’t work, had to wheel visitor through the down lane of deck.  Eventually around front located wheelchair access to shopping area.  Missed the sunset 🌅 Wanted to get cash for the great saxophone player after dinner except every cash machine in La Isla was NOT working!After dinner returned to deck for another nightmare.  After splitting up family and someone walking up deck for car we discovered the ticket payment machine was broken too!After picking up wheelchair visitor from sidewalk we approached parking booth.  Held us for 20 minutes because the payment machine was cash only because of broken machine!  We didn’t have much cash between us.  After requesting a supervisor, no one arrives for 20 minutes so one visitor asked if they could transfer money to the employee and they pay?  Yes, and after sending money to employee we were able to leave.  I’m definitely posting this to TripAdvisor because no one else should experience this in paradise. The management should not be charging for parking when elevators and ticket pay kiosk aren’t working and construction barriers and materials are in parking deck.  Looked like greed to me!",Cancun,Mixta,16,7,9,Mixta,True,43.75,56.25
"Gran centro poblano Magnífica plaza, corazón de la ciudad, con edificios nobiliarios y administrativos.Marca el ritmo de la ciudad.Bares y restaurantes para disfrutarImprescindible.",Puebla,Mixta,4,2,2,Mixta,True,50.0,50.0
"Hermosas playas Teníamos otra excursión reservada para no detenernos en las playas, pero hemos estado en Mazatlán antes y las disfrutamos muchísimo.",Mazatlan,Mixta,2,2,0,Subjetivo,False,100.0,0.0
"Solo fui a ver animales enfermos, que triste que se roben el dinero y no cuiden a sus animales habia muchismos camiones, autos etc... los animales se ven enfermos y desnutridos. les chilla la tripa a los dueños porque el lugar esta lleno hasta el tope y se tranzan todo el dinero porque no cuidan sus animales. las leonas muy delgadas.",Puebla,Subjetiva,4,2,2,Mixta,True,50.0,50.0
"no vayas con prisa....tomatelo con calma porque necesitas recorrerlo todo conozco muchos museos de fuera del pais, y ninguno se compara con el museo de antropologia! ademas ahora esta muuuy bonito, ordenado y los guardias son super amables! necesitas un dia completo para recorrerlo todo",CDMX,Mixta,4,3,1,Mixta,True,75.0,25.0
Al principio miedo al subir pero los guias te cuidan mucho.. Excelente servicio ..Lo.mejor de lo mejor con  los guias siempre animandote a seguir y sobre todo cuidantote..Super amables,Puerto Vallarta,Subjetiva,4,4,0,Subjetivo,False,100.0,0.0
"Historia mexicana Historia de Mexico, interesante . Instslaciones bien cuidadas. No esta   señalizado el camino para llegar a los magnificos vitrales",CDMX,Mixta,4,3,1,Mixta,True,75.0,25.0
We enjoyed spending time on the boardwalk. The views were beautiful on the boardwalk. The artwork was fascinating. Lots of restaurants. We saw several whales while walking and there is plenty of shade and places to stop and rest.,Puerto Vallarta,Mixta,5,1,4,Mixta,True,20.0,80.0
"Simplemente maravilloso Este museo es excepcionalmente fascinante, solo que sí es un poquito cansado el visitarlo en un solo día. Recomendado al cien.",CDMX,Mixta,3,3,0,Subjetivo,False,100.0,0.0
Increíble paseo familiar Es impresionante  los habitantes  de las diferentes  especies  de animales y su ecosistema.  Es muy hermoso.,Puebla,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"Un lugar que vale mucho la pena conocer. Excelente lugar para apreciar y tomar unas fotos del imponente Pacífico, también puedes visitar ahí mismo el mirador de cristal (que tiene un costo extra) y llega con  buena disposición para subir más de 300 escalones, un lugar maravilloso para ver el amanecer y la puesta del sol.",Mazatlan,Mixta,2,2,0,Subjetivo,False,100.0,0.0
"Dissapointing Was a little disappointed tbh, expected an almost deserted beach but clearly very popular and couldn't quite believe the view on the North side.",Puerto Vallarta,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"La Catedral...orgullo poblano La catedral de la ciudad es orgullo de los poblanos, una muestra de arte barroco cuya construcción inició en el siglo XVI. Son imponentes sus dos torres campanario con setenta metros de altura.En esta ocasión la contemplé desde el zócalo ambientado con las celebraciones de ""Todos Los Santos"".Disfruta del centro histórico de Puebla de los Ángeles porque: ¡La VIDA...es un VIAJE!",Puebla,Mixta,5,3,2,Mixta,True,60.0,40.0
"Una playa, tranquila y relajada para disfrutar un día en Mazatlán Estuvimos más de medio día  en esta playa, nos divertimos porque tienen diversas actividades. Nosotros aprovechamos y paseamos en caballo, nos subimos a la banana y estuvimos nadando en la playa, aunque hay más actividades tambiénLa playa es muy accesible para nadar, había muchos niños en ella, el oleaje es muy tranquilo y hay diversidad de  restaurantes para comerNosotros tomamos un Tours y nos pasearon también por las islas gemelas antes de llegar a la isla que en realidad es una península, y en este Tour también nos tocó ver, a unos leones marinos",Mazatlan,Mixta,5,1,4,Mixta,True,20.0,80.0
"Bonito museo Muy bonito museo y muy interesante, gracias al guía por ser tan amable y atento. Nos encantó la explicación. Recomiendo lo visiten.",Puebla,Subjetiva,4,4,0,Subjetivo,False,100.0,0.0
"Must see museum A special museum. Need to visit when in Mexico, if only a slightly interested in history and mystery about this iconic museum.",CDMX,Mixta,3,2,1,Mixta,True,66.66666666666666,33.33333333333333
"Asombroso Desde el más pequeño hasta el más grande de la familia disfrutamos el paseo, los animales están cuidados. El lugar muy limpio y la experiencia única, lo recomiendo completamente y ya quiero volver",Puebla,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"Experiencia personal. Un lugar muy completo, con muchas áreas de interacción para los niños; el cuidado de las especies es muy bueno y el tiempo se pasa súper rápido.",CDMX,Subjetiva,2,1,1,Mixta,True,50.0,50.0
"Bello Bellamente bello no hay belleza que se pueda embellecer bellamente ese lugar es simplemente bello,bello,bello (bello)",CDMX,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"MAJESTUOSA Esta es una Catedral impresionante, no solo por su tamaño exterior, como por su trabajo y riqueza interior Para mi es independiente que creas o no en la religión Cristiana, pero lo que si es innegable, es la meticulosidad , el exquisito trabajo, el cuidado, los detalles de todas y cada una de las partes que  componen esta maravilla",Puebla,Mixta,3,3,0,Subjetivo,False,100.0,0.0
"No pierdas tu tiempo Leímos que sería una parada estupenda para una familia con niños pequeños (tenemos un niño de 2 años). Fue la mayor pérdida de dinero. No hay nada interactivo más que un tanque de rayas y un tanque de estrellas de mar. El acuario tiene como 20 peceras adentro y eso es todo. Si no compras los extras (encuentros con delfines, fotografía de leones marinos, etc.), el recorrido cuesta literalmente entre 15 y 20 minutos por $ 30 USD por persona.",Cancun,Mixta,6,1,5,Mixta,True,16.666666666666664,83.33333333333334
"Supero mis expectativas Tenía muchas ganas de vivir esta experiencia,  que me ha parecido muy agradable; el lugar es muy bonito y los animales están muy cuidados, hasta miedo te dan de tan fuertes.Una linda y agradable experiencia",Puebla,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
"Mazatlán playa isla venados Hermoso lugar, mar tranquilo sin tanto oleaje, muy seguroHay lugares para que puedas comer Las lanchas muy segurasGente muy amable Lugar tranquilo para disfrutar con la familia",Mazatlan,Mixta,6,4,2,Mixta,True,66.66666666666666,33.33333333333333
Mejor de lo esperado Mucho mejor de lo que esperaba. Excelentes vistas y se sintió tan seguro todo el tiempo. Los guías Adriel y Tomai lo hicieron muy divertido. Alrededor de la línea 5 nos dieron agua refrescante o luz de tequila. Fátima tomó grandes fotos que harán que los recuerdos duren para siempre. Ray nuestro conductor nos recogió y nos dejó de vuelta. Recomiendo encarecidamente!,Puerto Vallarta,Mixta,8,6,2,Mixta,True,75.0,25.0
"Interesante El lugar es acogedor, lo ideal es ir los fines de semana -con tiempo- para discurrir en el tianguis, una especie de mercado de las pulgas.",Puebla,Mixta,2,1,1,Mixta,True,50.0,50.0
"Fraude en compra de lote frente a la playa. El lugar es hermos, por esa razón disidimos adquirir un lote frente a la playa. Lote No 4, dimos 10,000 dólares de anticipo. Resulta que después nos cobraran hasta parte de la playa, que pertenece a la federación, quedaron de regresarnos el anticipo porque no estábamos de acuerdo con las modificaciones de la superficie (por la razón antes señalada) esto fue en abril del 2012 y aún no nos regresan nuestro dinero.Fraude total Hemos dado vueltas y hablado en oficinas en Guadalajara y nomás se turnan la bolita, pero nada de dinero.",Puerto Vallarta,Mixta,6,5,1,Mixta,True,83.33333333333334,16.666666666666664
"buen excelente para un paseito por la zona, limpia y cuidada, personas de todas las edades, sana convivencia, areas para degustar y beber",Puerto Vallarta,Subjetiva,1,1,0,Subjetivo,False,100.0,0.0
"Good for a couple of hours This was a good way to get out of the heat for a couple of hours. As well as shopping, we visited Ripleys museum which was small but interesting and also went up the wheel which gave great views. From a shopping point of view they seemed to cater to both the high street and designer markets",Cancun,Mixta,4,2,2,Mixta,True,50.0,50.0
"ruta Uno de mis lugares favoritos para ir corriendo, creo que si eres runner te va bien salir a trotar hacia el Castillo de Chapultepec, la zona es ideal para un buen entrenamiento y de paso unas selfies ahi porque el lugar está padrísimo!!",CDMX,Mixta,1,1,0,Subjetivo,False,100.0,0.0
"HERMOSAS PLAYAS esas playas son tan hermosas y muy tranquilas, se respira una brisa suave y esta fuera de ruido yo recomiendo que vayan alla  y que se instalen en ese hermoso hotel girasol sur",Puerto Vallarta,Subjetiva,3,3,0,Subjetivo,False,100.0,0.0
No insulated water bottles allowed here. I’m giving this museum 4 stars based on others reviews because unfortunately my daughter and I didn’t make it inside. I just wanted to let everyone know that if you go here with an insulated water bottle (ie metal) you will have to throw it away if you want to enter the museum. You must go through a metal detector and they search your bag. If they see food or a water bottle they direct you to an area to dispose of it. I hope this saves others time and money.,CDMX,Mixta,6,3,3,Mixta,True,50.0,50.0
"Muy bonita playa ... Ideal para surfear Esta área es básicamente el final de la playa si caminabas hacia el norte a lo largo de la playa desde la Bahía Riu Emerald.Las olas son típicamente grandes en esta área. Es una gran área para surfear. Aquí se encuentra el restaurante de mariscos.Sr. Lionso, que es muy popular. También hay pequeñas tiendas para ir de compras. Si tuviera que caminar un pococalle abajo, detrás del restaurante de mariscos, encontrará un área de centro comercial con bares, tiendas y restaurantes.usted encontrará",Mazatlan,Mixta,10,3,7,Mixta,True,30.0,70.0
"Gran experiencia El museo muestra el arte y la vida de diferentes culturas mexicanas, incluida la maya. Es fácil moverse y muestra artefactos impresionantes. La entrada es asequible y se puede acceder cómodamente desde la zona hotelera en autobús. La tienda de regalos ofrece souvenirs únicos a precios más bajos que en la zona hotelera. Junto al museo, la calle. Vale la pena visitar el sitio arqueológico de Migelito, que brinda una atmósfera tranquila en medio de ruinas y bosques.",Cancun,Mixta,7,3,4,Mixta,True,42.857142857142854,57.14285714285714
"Compras para los familiares. En este lugar se puede encontrar muchos dulces y recuerdos, lo que les recomiendo son los platos de talavera y tazas, son muy bellas y de muy buena calidad.",Puebla,Mixta,3,2,1,Mixta,True,66.66666666666666,33.33333333333333
"Lugar tranquilo Un barrio diferente de una ciudad enorme. Se respira tranquilidad. Se puede almorzar en el Mercado, y despues disfrutar del Parque centenario.",CDMX,Mixta,4,3,1,Mixta,True,75.0,25.0
"Bonito Algunos de las personas que atienden son muy mal humoradas creo que está bien pero les falta un poco más de animalitos en la parte de afuera , pero en lo general fue una muy buena experiencia",Puebla,Mixta,3,3,0,Subjetivo,False,100.0,0.0
"La dulcería muy bien y rápida La cafetería fue rápida y amables. Solo la paquetería es muy lenta, la verdad todo lo demás pues más o menos bien, ya que creo falta más organización",Puebla,Mixta,3,3,0,Subjetivo,False,100.0,0.0
"Un lugar que es necesario visitar Hermoso museo, con un número muy grande depiezas bien organizadas por épocas que le ayudan a comprender la historia de Mesoamérica.La arquitectura del museo es espectacular y la calidad de los guías que dan las explicaciones en el recorrido es muy alta.Un sitio que recomiendo visitar.",CDMX,Mixta,3,3,0,Subjetivo,False,100.0,0.0
"Una maravilla del mundo La Capilla del Rosario, es algo que no se puede describir, tienes que asistir y verla con tus propios ojos, maravillarte con esa extraordinaria obra del Barroco Mexicano (si es que se le puede llamar así), es maravillosamente bella.",Puebla,Subjetiva,2,2,0,Subjetivo,False,100.0,0.0
"Un Lugar hermoso Es una visita imperdible, estando en el centro de vallarta puedes visitarla tomor muy buenas fotos a nosotros nos la tomaron los chicos de Baika rool ya que lo conocimos en un tour",Puerto Vallarta,Mixta,4,3,1,Mixta,True,75.0,25.0
Beautiful beach! The beach was beautiful and views are amazing! I felt safe as there were multiple armed national guards there. Definitely would recommend to anyone in Cancun!,Cancun,Mixta,4,3,1,Mixta,True,75.0,25.0
"Escalera maestra Plus Para aquellos de ustedes que disfrutan hacer ejercicio en el gimnasio, a través de Stairmaster, tómense un día libre y vengan aquí. Mejor haz ejercicio con una vista increíble, todos deberían venir aquí una o dos veces. Garantizado que te encantará.",Puerto Vallarta,Subjetiva,4,3,1,Mixta,True,75.0,25.0
"Regular El lugar tiene variedad de reptiles, peces, se ve limpio. Sin embargo, exceden el culpo de personas y llega a ser incómodo el lugar por el exceso de gente que dejan pasar, no permite que uno puedo ver bien a todo y disfrutarlo, además de que no existe ninguna promoción para presionar de discapacidad y de la tercera edad, algo a considerar para la inclusión.",CDMX,Mixta,3,1,2,Mixta,True,33.33333333333333,66.66666666666666
