Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia,Ciudad,Atraccion,TituloReview,Sentimiento,SentimientoHF
Genial para un paseo en bicicleta el domingo.,"El Paseo de la Reforma es una arteria principal de la ciudad. Elegimos coger bicicletas en nuestro hotel y pasear por la ciudad un domingo por la mañana. La ciudad cierra el Paseo de la Reforma y algunas calles laterales los domingos entre las 8:00 am y las 2:00 pm para que la gente pueda andar en bicicleta, correr, caminar, patinar, etc. por la ciudad. Es una oportunidad increíble para salir y moverse por la calle. Conseguimos nuestras bicicletas a las 8:30 am y anduvimos hasta las 10:00 am, porque teníamos un recorrido gastronómico a pie en Polanco a las 11:00. ¡Nos alegramos mucho de haber hecho el paseo en bicicleta! Nos detuvimos y tomamos fotografías en varios puntos de referencia e incluso de algunos vendedores ambulantes en el camino. Es una hermosa manera de orientarse en la ciudad. ¡Altamente recomendado!",Amigos,5,"Charlotte, Carolina del Norte",2024-01-19,2024-01-01,Cdmx,Paseo De La Reforma,"Genial para un paseo en bicicleta el domingo. El Paseo de la Reforma es una arteria principal de la ciudad. Elegimos coger bicicletas en nuestro hotel y pasear por la ciudad un domingo por la mañana. La ciudad cierra el Paseo de la Reforma y algunas calles laterales los domingos entre las 8:00 am y las 2:00 pm para que la gente pueda andar en bicicleta, correr, caminar, patinar, etc. por la ciudad. Es una oportunidad increíble para salir y moverse por la calle. Conseguimos nuestras bicicletas a las 8:30 am y anduvimos hasta las 10:00 am, porque teníamos un recorrido gastronómico a pie en Polanco a las 11:00. ¡Nos alegramos mucho de haber hecho el paseo en bicicleta! Nos detuvimos y tomamos fotografías en varios puntos de referencia e incluso de algunos vendedores ambulantes en el camino. Es una hermosa manera de orientarse en la ciudad. ¡Altamente recomendado!",Positivo,Positivo
Gran lugar,"Excelente lugar para recorrer entre semana o los fines. Es muy tranquilo y varias opciones para comer, disfrutar de alguna bebida o echar la plática.",Pareja,5,"Ciudad de México, México",2024-01-17,2023-10-01,Cdmx,Paseo De La Reforma,"Gran lugar Excelente lugar para recorrer entre semana o los fines. Es muy tranquilo y varias opciones para comer, disfrutar de alguna bebida o echar la plática.",Positivo,Positivo
Bieeen,"Caminar por aqui y ver los grandes edificios siempre es interesante, me encanta esta avenida y toda su historia.",Solitario,5,anonimo,2024-01-04,2023-10-01,Cdmx,Paseo De La Reforma,"Bieeen Caminar por aqui y ver los grandes edificios siempre es interesante, me encanta esta avenida y toda su historia.",Positivo,Positivo
REFORMA ES HERMOSO,"es inmensooooo  es una avenida gigante tratamos de recorerla a pie (se puede ) pero no la logramos , esta el angel de la independencia , la diana , el castillo  de chaputepec,el caballito  ademas es un lugar muy entetenido , el domindo se vuelve peatonal  desde las 6 a las 14",Amigos,5,"La Paz, Bolivia",2023-12-22,2023-11-01,Cdmx,Paseo De La Reforma,"REFORMA ES HERMOSO es inmensooooo  es una avenida gigante tratamos de recorerla a pie (se puede ) pero no la logramos , esta el angel de la independencia , la diana , el castillo  de chaputepec,el caballito  ademas es un lugar muy entetenido , el domindo se vuelve peatonal  desde las 6 a las 14",Positivo,Positivo
Disfruta de una hora aproximadamente con un paseo por la ciudad.,"Un paseo encantador que contaba con exhibiciones de arte, ¿para el día de los muertos? O tal vez haya una rotación durante todo el año. Es bueno pasear y deambular.",Solitario,4,"Chicago, IL",2023-11-18,2023-11-01,Cdmx,Paseo De La Reforma,"Disfruta de una hora aproximadamente con un paseo por la ciudad. Un paseo encantador que contaba con exhibiciones de arte, ¿para el día de los muertos? O tal vez haya una rotación durante todo el año. Es bueno pasear y deambular.",Positivo,Positivo
Siempre hermoso,"Un lugar que nunca falla para dar un paseo tranquilo con tu pareja, amigos o familiares. Es más cómodo venir entre semana, hay menos gente en comparación con los fines.",Pareja,5,"Álvaro Obregón, México",2023-11-14,2023-07-01,Cdmx,Paseo De La Reforma,"Siempre hermoso Un lugar que nunca falla para dar un paseo tranquilo con tu pareja, amigos o familiares. Es más cómodo venir entre semana, hay menos gente en comparación con los fines.",Positivo,Positivo
Paseo de la Reforma,"Tranquilidad, buenos hoteles y zona muy central, se puede caminar hasta llegar a la zona histórica,  recomiendo Uber,  los taxistas que  cogimos nos cobraban el doble",Familia,5,"Bogotá, Colombia",2023-10-17,2023-10-01,Cdmx,Paseo De La Reforma,"Paseo de la Reforma Tranquilidad, buenos hoteles y zona muy central, se puede caminar hasta llegar a la zona histórica,  recomiendo Uber,  los taxistas que  cogimos nos cobraban el doble",Positivo,Positivo
Magestuosa avenida,"Excelente avenida para caminar y conocer un poco mas la Ciudad, es muy céntrica y de fácil movimiento.",Pareja,5,"Monterrey, México",2023-09-19,2023-09-01,Cdmx,Paseo De La Reforma,"Magestuosa avenida Excelente avenida para caminar y conocer un poco mas la Ciudad, es muy céntrica y de fácil movimiento.",Positivo,Positivo
Muy agradable,"Muy bonito toda las áreas cercanas al hotel Mx Reforma (Excelente la estancia), sobre todo el monumento al Angel, aprovecho esta oportunidad para comentar que salimos del Hotel para tomas de fotos a este hermoso escultura (Angel), pero en el camino sobre el parque , se encuentran muchas personas en situación de indigencia que hacen sus necesidades sobre la misma (fue desagradable encontrarse con estos residuos). Estas personas deben ser atendidas para mejorar su calidad de vida en albergues especiales y por ende se evitarian estas escenas nada agradables",desconocido,4,anonimo,2023-08-04,2023-08-01,Cdmx,Paseo De La Reforma,"Muy agradable Muy bonito toda las áreas cercanas al hotel Mx Reforma (Excelente la estancia), sobre todo el monumento al Angel, aprovecho esta oportunidad para comentar que salimos del Hotel para tomas de fotos a este hermoso escultura (Angel), pero en el camino sobre el parque , se encuentran muchas personas en situación de indigencia que hacen sus necesidades sobre la misma (fue desagradable encontrarse con estos residuos). Estas personas deben ser atendidas para mejorar su calidad de vida en albergues especiales y por ende se evitarian estas escenas nada agradables",Positivo,Positivo
Calle principal para tus pies,"Una de las vías principales para atravesar la Ciudad de México, vale la pena caminar durante el día para ver algunos de los sitios a lo largo del camino.",desconocido,5,anonimo,2023-04-25,2023-04-01,Cdmx,Paseo De La Reforma,"Calle principal para tus pies Una de las vías principales para atravesar la Ciudad de México, vale la pena caminar durante el día para ver algunos de los sitios a lo largo del camino.",Positivo,Positivo
"¡Un hito majestuoso, histórico y digno de ver!",Esta es una atracción histórica: grandiosa con una buena ubicación y un lugar genial para visitar. Este monumento es definitivamente uno en el que debes hacer una parada. Es culturalmente significativo en México y es un gran lugar para tomar una foto. La ubicación es conveniente y tenía muchos restaurantes cerca. Vale la pena una parada rápida seguro! No necesita más de unos minutos para ver a menos que quiera cruzar la calle concurrida y sentarse en los escalones empapándose del ajetreo de la ciudad. Sin cargo para ver.,Familia,4,anonimo,2023-04-09,2023-04-01,Cdmx,Paseo De La Reforma,"¡Un hito majestuoso, histórico y digno de ver! Esta es una atracción histórica: grandiosa con una buena ubicación y un lugar genial para visitar. Este monumento es definitivamente uno en el que debes hacer una parada. Es culturalmente significativo en México y es un gran lugar para tomar una foto. La ubicación es conveniente y tenía muchos restaurantes cerca. Vale la pena una parada rápida seguro! No necesita más de unos minutos para ver a menos que quiera cruzar la calle concurrida y sentarse en los escalones empapándose del ajetreo de la ciudad. Sin cargo para ver.",Positivo,Positivo
nada especial,"en realidad no tiene nada especial, es una avenida con buena cantidad de árboles y buena alternativa para cuando debes caminar desde el centro hacia bosque chapultepec",desconocido,3,"Santiago, Chile",2023-03-07,2023-03-01,Cdmx,Paseo De La Reforma,"nada especial en realidad no tiene nada especial, es una avenida con buena cantidad de árboles y buena alternativa para cuando debes caminar desde el centro hacia bosque chapultepec",Neutro,Neutro
Buen paseo,"Está muy linda la avenida, con ganas de imprimir una foto de ahí, la verdad  vale la pena recorrerla, como a las 9am o 6pm",desconocido,5,"Lima, Perú",2023-02-20,2022-09-01,Cdmx,Paseo De La Reforma,"Buen paseo Está muy linda la avenida, con ganas de imprimir una foto de ahí, la verdad  vale la pena recorrerla, como a las 9am o 6pm",Positivo,Positivo
Inevitable recorrida en Ciudad de México,"La extensa Paseo de la Reforma es una de las arterias que no pueden dejar de recorrerse en Ciudad de México. Lugares históricos, buena construcción y comercios.",desconocido,4,"Buenos Aires, Argentina",2023-02-20,2023-01-01,Cdmx,Paseo De La Reforma,"Inevitable recorrida en Ciudad de México La extensa Paseo de la Reforma es una de las arterias que no pueden dejar de recorrerse en Ciudad de México. Lugares históricos, buena construcción y comercios.",Positivo,Positivo
Excelente paseo peatonal,El paseo de la reforma es un paseo peatonal súper extenso y muy arborizado por el que resulta muy agradable caminar a cualquier hora.,desconocido,5,"Cartagena, Colombia",2023-02-13,2022-11-01,Cdmx,Paseo De La Reforma,Excelente paseo peatonal El paseo de la reforma es un paseo peatonal súper extenso y muy arborizado por el que resulta muy agradable caminar a cualquier hora.,Positivo,Positivo
Muy bueno,Estuve 3dias y me alcanzó para hacer el tour y poder recorrer todo el paseo .lo hicimos de día y de noche,Pareja,4,"Buenos Aires, Argentina",2023-02-08,2022-04-01,Cdmx,Paseo De La Reforma,Muy bueno Estuve 3dias y me alcanzó para hacer el tour y poder recorrer todo el paseo .lo hicimos de día y de noche,Positivo,Positivo
Calle perfecta para caminar y hacer turismo.,"El hotel en el que me alojé estaba en Paseo Reforma y lo usábamos bastante para ir de Chapultepec y para cenar y hacer compras. La calle está llena de senderos para caminar, comida, café y tiendas de lujo. Vale la pena dar un paseo por esta hermosa calle para tener una idea de la sección turística de la Ciudad de México.",Solitario,5,anonimo,2023-01-16,2023-01-01,Cdmx,Paseo De La Reforma,"Calle perfecta para caminar y hacer turismo. El hotel en el que me alojé estaba en Paseo Reforma y lo usábamos bastante para ir de Chapultepec y para cenar y hacer compras. La calle está llena de senderos para caminar, comida, café y tiendas de lujo. Vale la pena dar un paseo por esta hermosa calle para tener una idea de la sección turística de la Ciudad de México.",Positivo,Positivo
Centro de negocios de la ciudad,"Este largo y amplio paseo constituye el centro neurálgico de los negocios de la ciudad, con edificios singulares, destacando enormes rascacielos.",desconocido,4,Leioa,2022-12-18,2022-11-01,Cdmx,Paseo De La Reforma,"Centro de negocios de la ciudad Este largo y amplio paseo constituye el centro neurálgico de los negocios de la ciudad, con edificios singulares, destacando enormes rascacielos.",Positivo,Positivo
No es exactamente la Quinta Avenida ni los Campos Elíseos,"Caminé y caminé y vi una calle que era tan - tan animada. Me encontré con un mercado de flores y un gran mercado de pulgas que se extendía por cuadras, que disfruté. Regresé la noche siguiente para ver otro tramo, con coloridos dragones, como carrozas, que se extendía por cuadras. Todavía no estoy seguro de para qué servían, pero fue divertido mirarlos para tomar fotografías.",desconocido,3,anonimo,2022-11-06,2022-10-01,Cdmx,Paseo De La Reforma,"No es exactamente la Quinta Avenida ni los Campos Elíseos Caminé y caminé y vi una calle que era tan - tan animada. Me encontré con un mercado de flores y un gran mercado de pulgas que se extendía por cuadras, que disfruté. Regresé la noche siguiente para ver otro tramo, con coloridos dragones, como carrozas, que se extendía por cuadras. Todavía no estoy seguro de para qué servían, pero fue divertido mirarlos para tomar fotografías.",Neutro,Negativo
Hermoso,"Me encanta caminar en Reforma, en una mañana de domingo, claro. Tiene su encanto, llena de tienditas, cafés y restaurantes.",desconocido,5,"Ciudad de México, México",2022-10-28,2022-09-01,Cdmx,Paseo De La Reforma,"Hermoso Me encanta caminar en Reforma, en una mañana de domingo, claro. Tiene su encanto, llena de tienditas, cafés y restaurantes.",Positivo,Positivo
HIP DROMO CONDESA,Me alojé en un airbandb ubicado en el Hip dromo Condesa rea. Visitamos Parque M xico y disfrutamos de la cyclo - via el domingo. Hay un montón de diversos restaurantes y vendedores ambulantes para elegir.,Amigos,5,anonimo,2022-10-27,2022-10-01,Cdmx,Paseo De La Reforma,HIP DROMO CONDESA Me alojé en un airbandb ubicado en el Hip dromo Condesa rea. Visitamos Parque M xico y disfrutamos de la cyclo - via el domingo. Hay un montón de diversos restaurantes y vendedores ambulantes para elegir.,Positivo,Positivo
Caminar en reforma,"En paseo reforma puedes caminar y conocer otra vista de CD de México, conocer el angel de la independecias, tiendas, restaurantes, andar en bici, etc.",desconocido,5,"Mérida, México",2022-08-30,2022-08-01,Cdmx,Paseo De La Reforma,"Caminar en reforma En paseo reforma puedes caminar y conocer otra vista de CD de México, conocer el angel de la independecias, tiendas, restaurantes, andar en bici, etc.",Positivo,Positivo
muy linda zona,Recorrimos  esta zona que tiene mucho para ver. hicimos este recorrido en un walking tour y terminamos en el bosque te chapultepec. Una zona imperdible para visitar en CDMX,desconocido,5,"Montevideo, Uruguay",2022-08-12,2022-08-01,Cdmx,Paseo De La Reforma,muy linda zona Recorrimos  esta zona que tiene mucho para ver. hicimos este recorrido en un walking tour y terminamos en el bosque te chapultepec. Una zona imperdible para visitar en CDMX,Positivo,Positivo
Un moderna avenida,"Una avenida con muchos sitios interesantes como restaurantes, hoteles, monumentos y fuentes. También allí encontrarás el monumento del Ángel de la independencia.Cada domingo se hace en esta avenida la cicloton por lo que puedes recorrerla en bicicleta, patines, patineta o a pie de principio a fin.",Familia,4,"Cali, Colombia",2022-07-20,2022-07-01,Cdmx,Paseo De La Reforma,"Un moderna avenida Una avenida con muchos sitios interesantes como restaurantes, hoteles, monumentos y fuentes. También allí encontrarás el monumento del Ángel de la independencia.Cada domingo se hace en esta avenida la cicloton por lo que puedes recorrerla en bicicleta, patines, patineta o a pie de principio a fin.",Positivo,Positivo
Excelente,"Recorrerla es una bonita experiencia, llena de cafés, restaurantes y en general un lugar que te da tranquilidad en medio del caos de la ciudad.",desconocido,5,anonimo,2022-06-14,2022-06-01,Cdmx,Paseo De La Reforma,"Excelente Recorrerla es una bonita experiencia, llena de cafés, restaurantes y en general un lugar que te da tranquilidad en medio del caos de la ciudad.",Positivo,Positivo
Historia y via majestuosa de la ciudad,"Esta calle seria el equicalente a champs elysse, varias calles que muestran la elegancia, vivacidad y majestuosidad de la ciudad, Desde el Parque de Chapultepec, pasando por el Castillo demora de Maximiliano de Asbrgo se sigue hasta llegar al Zocalo, palacio Nacional y catedral, bella de caminar, en coche, en tribus. te muesta una cara de lo que fue y es la ciudad de México",desconocido,4,anonimo,2022-06-12,2022-06-01,Cdmx,Paseo De La Reforma,"Historia y via majestuosa de la ciudad Esta calle seria el equicalente a champs elysse, varias calles que muestran la elegancia, vivacidad y majestuosidad de la ciudad, Desde el Parque de Chapultepec, pasando por el Castillo demora de Maximiliano de Asbrgo se sigue hasta llegar al Zocalo, palacio Nacional y catedral, bella de caminar, en coche, en tribus. te muesta una cara de lo que fue y es la ciudad de México",Positivo,Positivo
Alejandro Avalos un genial anfitrión siempre atento,Carne de calidad y los detalles estuvieron de maravilla. Atención de primera . Desde la llegada la anfitriona nos atendió de lujo buscándonos una linda mesa . Tequila 100 % Vinos mexicano de Valle increíbles,Amigos,5,Nomad02839963943,2022-05-07,2022-05-01,Cdmx,Paseo De La Reforma,Alejandro Avalos un genial anfitrión siempre atento Carne de calidad y los detalles estuvieron de maravilla. Atención de primera . Desde la llegada la anfitriona nos atendió de lujo buscándonos una linda mesa . Tequila 100 % Vinos mexicano de Valle increíbles,Positivo,Positivo
"HERMOSA CAMINATA POR UNA LARGA AVENIDA, CON EDIFICIOS MODERNOS Y ALTOS","Larga avenida, muy ancha, con edificios muy modernos y altos, así como estatuas emblema de la ciudad como El Angel o La Diana. Hermosa caminata desde Chapultepec hasta El Caballito.",desconocido,4,"Montevideo, Uruguay",2022-05-04,2022-03-01,Cdmx,Paseo De La Reforma,"HERMOSA CAMINATA POR UNA LARGA AVENIDA, CON EDIFICIOS MODERNOS Y ALTOS Larga avenida, muy ancha, con edificios muy modernos y altos, así como estatuas emblema de la ciudad como El Angel o La Diana. Hermosa caminata desde Chapultepec hasta El Caballito.",Positivo,Positivo
Obligado a recorrer,"Encontraras no solo la imponencia de los sitios a visitar a lo largo de su recorrido, sino tambien innumerable cantidad de comercio y restaurantes. Cada monumento es emblematico y lleva una buena camara.",desconocido,5,"Cali, Colombia",2022-05-03,2022-04-01,Cdmx,Paseo De La Reforma,"Obligado a recorrer Encontraras no solo la imponencia de los sitios a visitar a lo largo de su recorrido, sino tambien innumerable cantidad de comercio y restaurantes. Cada monumento es emblematico y lleva una buena camara.",Positivo,Positivo
Bello,"Muy bien cuidado, limpio y excelente comunicación con sisito de interés mediante diversos medios de transporte.",desconocido,5,"Ciudad de Panamá, Panamá",2022-05-03,2022-04-01,Cdmx,Paseo De La Reforma,"Bello Muy bien cuidado, limpio y excelente comunicación con sisito de interés mediante diversos medios de transporte.",Positivo,Positivo
Excelente paseo para hacer en Turibus,"Fuimos en Turibus, hay audio en altoparlante y tb sector donde podes conetar tus auriculares y elegir el idioma deseado. Ahí mismo tb cargador para el celular. El Paseo de la Reforma maravilloso, lleno de verde y muchos lugares para conocer. Podes bajarte en alguna parada y recorrer caminando ciertos sectores o bien seguir en el bus",desconocido,5,"Rosario, Argentina",2022-04-11,2022-03-01,Cdmx,Paseo De La Reforma,"Excelente paseo para hacer en Turibus Fuimos en Turibus, hay audio en altoparlante y tb sector donde podes conetar tus auriculares y elegir el idioma deseado. Ahí mismo tb cargador para el celular. El Paseo de la Reforma maravilloso, lleno de verde y muchos lugares para conocer. Podes bajarte en alguna parada y recorrer caminando ciertos sectores o bien seguir en el bus",Positivo,Positivo
La calle principal,"Probablemente la columna vertebral y avenida principal de la nueva Ciudad de México. Es una avenida amplia y bulliciosa, bordeada de hoteles e interesantes edificios de oficinas y monumentos. Los domingos se convierte en un gran centro comercial peatonal donde la gente anda en bicicleta, trota o simplemente pasea a lo largo.",Solitario,5,anonimo,2022-04-10,2022-04-01,Cdmx,Paseo De La Reforma,"La calle principal Probablemente la columna vertebral y avenida principal de la nueva Ciudad de México. Es una avenida amplia y bulliciosa, bordeada de hoteles e interesantes edificios de oficinas y monumentos. Los domingos se convierte en un gran centro comercial peatonal donde la gente anda en bicicleta, trota o simplemente pasea a lo largo.",Positivo,Positivo
MEXICO MODERNO,Vale la pena caminar a lo largo de esta avenida o alquilar una bicicleta y pedalear. Se observan edificios muy modernos y distintos monumentos.,desconocido,5,"Manchester, UK",2022-04-03,2022-02-01,Cdmx,Paseo De La Reforma,MEXICO MODERNO Vale la pena caminar a lo largo de esta avenida o alquilar una bicicleta y pedalear. Se observan edificios muy modernos y distintos monumentos.,Positivo,Positivo
"Peligroso para personas solas ""Singles"" de otros países.","Me gustan mucho los árboles, las flores, los edificios, el centro comercial y diversas oficinas que están en esta zona. Sin embargo, si sentí hostilidad y he tenido que pedir ayuda internacional.",Solitario,3,Cándida Larisa M,2022-03-30,2022-03-01,Cdmx,Paseo De La Reforma,"Peligroso para personas solas ""Singles"" de otros países. Me gustan mucho los árboles, las flores, los edificios, el centro comercial y diversas oficinas que están en esta zona. Sin embargo, si sentí hostilidad y he tenido que pedir ayuda internacional.",Neutro,Negativo
Un must en la ciudad,"Definitivamente si visitas la ciudad de México debes conocer ésta importante avenida. Sobre todo en época de marzo- abril cuando las Jacarandas están en flor es un espectáculo hermoso. El camión del turibus pasa por aquí, al igual que el metrobus, hay ciclovía y aparte los domingos por la mañana cierran en tránsito vehicular para que puedas disfrutar caminando, corriendo, en bicicleta, patines.",desconocido,5,"México Central Y Costa Del Golfo, México",2022-03-24,2022-03-01,Cdmx,Paseo De La Reforma,"Un must en la ciudad Definitivamente si visitas la ciudad de México debes conocer ésta importante avenida. Sobre todo en época de marzo- abril cuando las Jacarandas están en flor es un espectáculo hermoso. El camión del turibus pasa por aquí, al igual que el metrobus, hay ciclovía y aparte los domingos por la mañana cierran en tránsito vehicular para que puedas disfrutar caminando, corriendo, en bicicleta, patines.",Positivo,Positivo
Espectacular,"Es un paseo obligatoria, muestra la modernidad de DF, muestra lo metrópolis que es, buen sector para quedarse",desconocido,5,"Bogotá, Colombia",2022-02-17,2021-12-01,Cdmx,Paseo De La Reforma,"Espectacular Es un paseo obligatoria, muestra la modernidad de DF, muestra lo metrópolis que es, buen sector para quedarse",Positivo,Positivo
