Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia,Ciudad,Atraccion,TituloReview
Artefactos interesantes - Vale la pena visitar,"Tuve una mañana libre en la Zona Hotelera así que tomé un Uber a este museo y ruinas. El lugar parecía bastante deteriorado, pero después de caminar 8 rampas hasta el nivel del museo, la habitación con los artefactos valió la pena el esfuerzo. Las placas de cada artefacto están en español, así que usé la cámara de mi iPhone con Google Translate para entender lo que estaba mirando. Fui alrededor de las 9: 30 am un miércoles y no había cola y muy poca gente allí. Puedes tomar fotos. Después de pasear por el museo bajé y caminé por el camino de las ruinas. Los restos del templo y la casa eran un agradable paseo por los árboles. Bonita sombra pero muy húmeda, por supuesto. Cuando terminé caminé una milla hasta Playa Delphines y disfruté de algún tiempo allí antes de tomar un Uber de regreso a mi hotel.",Solitario,4,"Berthoud, CO",2025-03-13,2025-03-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Artefactos interesantes - Vale la pena visitar. Tuve una mañana libre en la Zona Hotelera así que tomé un Uber a este museo y ruinas. El lugar parecía bastante deteriorado, pero después de caminar 8 rampas hasta el nivel del museo, la habitación con los artefactos valió la pena el esfuerzo. Las placas de cada artefacto están en español, así que usé la cámara de mi iPhone con Google Translate para entender lo que estaba mirando. Fui alrededor de las 9: 30 am un miércoles y no había cola y muy poca gente allí. Puedes tomar fotos. Después de pasear por el museo bajé y caminé por el camino de las ruinas. Los restos del templo y la casa eran un agradable paseo por los árboles. Bonita sombra pero muy húmeda, por supuesto. Cuando terminé caminé una milla hasta Playa Delphines y disfruté de algún tiempo allí antes de tomar un Uber de regreso a mi hotel."
Tan triste su deterioro.,He estado aquí tres veces desde su apertura en 2013. El museo en sí no ha sido mantenido. Caliente. No hay aire. 81 grados. Ambos ascensores fuera de servicio. Tengo que subir 8 rampas. Pintura pelada en el exterior. Pasamanos oxidados. Corte de iluminación para ahorrar dinero. No otra vez.,Familia,2,Richard Schnur,2025-03-11,2025-02-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,Tan triste su deterioro. He estado aquí tres veces desde su apertura en 2013. El museo en sí no ha sido mantenido. Caliente. No hay aire. 81 grados. Ambos ascensores fuera de servicio. Tengo que subir 8 rampas. Pintura pelada en el exterior. Pasamanos oxidados. Corte de iluminación para ahorrar dinero. No otra vez.
Una visita obligada!! No te arrepentirás!!,"¡Es una visita obligada! ¡Era un museo bastante genial! Mi marido y yo nos tomamos una hora para caminar por la exposición interior y exterior. ¡Había muchos artefactos y ruinas geniales! El precio era genial, apenas había nadie allí, y tantas piezas geniales! Utilizamos Google Lente para ayudar con la traducción y resumir los tableros. También tenían algunos tableros en inglés. Recomendaría alejarse de las típicas atracciones turísticas y ver este museo!",Pareja,5,anonimo,2025-03-05,2025-03-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Una visita obligada!! No te arrepentirás!!. ¡Es una visita obligada! ¡Era un museo bastante genial! Mi marido y yo nos tomamos una hora para caminar por la exposición interior y exterior. ¡Había muchos artefactos y ruinas geniales! El precio era genial, apenas había nadie allí, y tantas piezas geniales! Utilizamos Google Lente para ayudar con la traducción y resumir los tableros. También tenían algunos tableros en inglés. Recomendaría alejarse de las típicas atracciones turísticas y ver este museo!."
Museo Maya de Cancún,"El **Museo Maya de Cancún** es una institución cultural moderna dedicada a mostrar la rica historia y el legado de la antigua civilización maya. Ubicado en la zona hotelera de Cancún, el museo cuenta con una vasta colección de artefactos, incluyendo cerámica, esculturas, joyas y herramientas, muchas de las cuales fueron desenterradas de sitios arqueológicos cercanos. Diseñado con arquitectura contemporánea, el museo ofrece exposiciones tanto interiores como exteriores, incluido un exuberante jardín y el cercano **sitio arqueológico de San Miguelito**, que los visitantes pueden explorar. A través de sus atractivas exhibiciones y contenido educativo, el Museo Maya ofrece un viaje de inmersión en la cultura, la ciencia y el arte de los mayas, lo que lo convierte en un destino de visita obligada para los amantes de la historia y los viajeros curiosos por igual.",Amigos,4,"Estambul, Turquía",2025-01-04,2024-09-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Museo Maya de Cancún. El **Museo Maya de Cancún** es una institución cultural moderna dedicada a mostrar la rica historia y el legado de la antigua civilización maya. Ubicado en la zona hotelera de Cancún, el museo cuenta con una vasta colección de artefactos, incluyendo cerámica, esculturas, joyas y herramientas, muchas de las cuales fueron desenterradas de sitios arqueológicos cercanos. Diseñado con arquitectura contemporánea, el museo ofrece exposiciones tanto interiores como exteriores, incluido un exuberante jardín y el cercano **sitio arqueológico de San Miguelito**, que los visitantes pueden explorar. A través de sus atractivas exhibiciones y contenido educativo, el Museo Maya ofrece un viaje de inmersión en la cultura, la ciencia y el arte de los mayas, lo que lo convierte en un destino de visita obligada para los amantes de la historia y los viajeros curiosos por igual."
Joya oculta una visita obligada,"Esta joya no se anuncia en los hoteles locales, aunque debería ser. Una increíble colección de artefactos mayas con carteles descriptivos en inglés y español (en la mayoría del museo). Las ruinas adyacentes no están reconstruidas, pero dan al visitante la sensación de lo que el propio Museo tiene amplia información. Un edificio precioso y accesible a la movilidad - visitantes discapacitados a través de un ascensor. Una excelente manera para que los turistas comiencen a informarse sobre una rica y profunda cultura local.",Familia,5,Vancouver,2024-12-20,2024-12-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Joya oculta una visita obligada. Esta joya no se anuncia en los hoteles locales, aunque debería ser. Una increíble colección de artefactos mayas con carteles descriptivos en inglés y español (en la mayoría del museo). Las ruinas adyacentes no están reconstruidas, pero dan al visitante la sensación de lo que el propio Museo tiene amplia información. Un edificio precioso y accesible a la movilidad - visitantes discapacitados a través de un ascensor. Una excelente manera para que los turistas comiencen a informarse sobre una rica y profunda cultura local."
Real joya que no te puedes perder,"Excelente experiencia cultural justo en la zona hotelera que no debe perderse. Es barato, bien diseñado con letreros principales detallados en español e inglés que explican la historia del pueblo maya. Algunos letreros de exhibición están solo en español, pero se traducen fácilmente con una aplicación de traducción en un teléfono inteligente. También hubo una exposición itinerante sobre conchas, incluido su uso en artefactos antiguos. Otro aspecto destacado son las ruinas arqueológicas del sitio rodeadas de selva con senderos y señales claramente marcadas. Esta es una verdadera joya y un excelente escape de la ruidosa oleada de tráfico en Cancún. El edificio y el sitio es fresco, agradable y con personal servicial, sin pretensiones.",Pareja,5,anonimo,2024-12-06,2024-12-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Real joya que no te puedes perder. Excelente experiencia cultural justo en la zona hotelera que no debe perderse. Es barato, bien diseñado con letreros principales detallados en español e inglés que explican la historia del pueblo maya. Algunos letreros de exhibición están solo en español, pero se traducen fácilmente con una aplicación de traducción en un teléfono inteligente. También hubo una exposición itinerante sobre conchas, incluido su uso en artefactos antiguos. Otro aspecto destacado son las ruinas arqueológicas del sitio rodeadas de selva con senderos y señales claramente marcadas. Esta es una verdadera joya y un excelente escape de la ruidosa oleada de tráfico en Cancún. El edificio y el sitio es fresco, agradable y con personal servicial, sin pretensiones."
Un bonito descanso del complejo,"Mi esposa y yo pasamos unos 45 minutos explorando los terrenos y otros 45 minutos experimentando las exhibiciones interiores. Habríamos pasado más tiempo afuera mirando las ruinas mayas reales, pero los recientes aguaceros dejaron algunos senderos inundados limitando donde podríamos caminar sin mojarnos los pies realmente. Las etiquetas y letreros están en español e inglés. El museo en sí está elevado con rampas para subir y bajar - - el ascensor estaba fuera de servicio - durante nuestra visita. El museo es fácil de llegar desde cualquier parte de la Zona Hotelera utilizando el autobús público que solo cuesta 12 pesos (menos de $ 1 USD) por persona y viaje. Los autobuses llegan cada 5 minutos aproximadamente durante el día. Lo recomiendo - - es un buen descanso cultural del complejo.",Pareja,4,"Ypsilanti, MI",2024-11-27,2024-11-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Un bonito descanso del complejo. Mi esposa y yo pasamos unos 45 minutos explorando los terrenos y otros 45 minutos experimentando las exhibiciones interiores. Habríamos pasado más tiempo afuera mirando las ruinas mayas reales, pero los recientes aguaceros dejaron algunos senderos inundados limitando donde podríamos caminar sin mojarnos los pies realmente. Las etiquetas y letreros están en español e inglés. El museo en sí está elevado con rampas para subir y bajar - - el ascensor estaba fuera de servicio - durante nuestra visita. El museo es fácil de llegar desde cualquier parte de la Zona Hotelera utilizando el autobús público que solo cuesta 12 pesos (menos de $ 1 USD) por persona y viaje. Los autobuses llegan cada 5 minutos aproximadamente durante el día. Lo recomiendo - - es un buen descanso cultural del complejo."
Recomendado,Fue un recorrido rápido por que la lluvia pero sobre todo los mosquitos no nos dejaron disfrutarloEs un museo céntrico que no debes dejar de visitar aunque se ve la falta de mantenimiento.Agradecemos al personal que fueron muy honestos al ingresar de que había muchos mosquitos y así fue,Familia,5,"Cabo San Lucas, México",2024-11-24,2024-06-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,Recomendado. Fue un recorrido rápido por que la lluvia pero sobre todo los mosquitos no nos dejaron disfrutarloEs un museo céntrico que no debes dejar de visitar aunque se ve la falta de mantenimiento.Agradecemos al personal que fueron muy honestos al ingresar de que había muchos mosquitos y así fue.
Info en inglés claro,"Precio de oferta 95 Peso, solo Peso aceptado a la llegada. No hay necesidad de reservar con antelación a menos que sea temporada alta. Toma alrededor de 2 horas para dar la vuelta a las exposiciones y hacer las ruinas al aire libre. Tendrá que dejar su vientre y mochila con seguridad o conseguir un casillero. Estaba lloviendo cuando te visité, pero los árboles te mantienen seco. No hay mucha información en inglés, pero se puede traducir en su teléfono. Se pueden tomar fotos, pero el uso de flash está prohibido, solo rebotaría en el vidrio de todos modos. Observé que las exhibiciones podrían haber estado mucho mejor iluminadas. En general, una gran manera de pasar unas horas en un día de mal tiempo. Pídele al conductor del autobús que te deje afuera, pero es mucho mejor que le muestres en tu teléfono a dónde quieres ir primero, no todos los conductores están informados - sobre los lugares de interés más pequeños.",Solitario,5,"Manchester, UK",2024-09-24,2024-09-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Info en inglés claro. Precio de oferta 95 Peso, solo Peso aceptado a la llegada. No hay necesidad de reservar con antelación a menos que sea temporada alta. Toma alrededor de 2 horas para dar la vuelta a las exposiciones y hacer las ruinas al aire libre. Tendrá que dejar su vientre y mochila con seguridad o conseguir un casillero. Estaba lloviendo cuando te visité, pero los árboles te mantienen seco. No hay mucha información en inglés, pero se puede traducir en su teléfono. Se pueden tomar fotos, pero el uso de flash está prohibido, solo rebotaría en el vidrio de todos modos. Observé que las exhibiciones podrían haber estado mucho mejor iluminadas. En general, una gran manera de pasar unas horas en un día de mal tiempo. Pídele al conductor del autobús que te deje afuera, pero es mucho mejor que le muestres en tu teléfono a dónde quieres ir primero, no todos los conductores están informados - sobre los lugares de interés más pequeños."
Visita de verano al Museo del Templo Maya (junio de 2023),"Fue genial ver muchos artefactos en el museo, leer sobre diferentes templos alrededor de México y usar el sendero para caminar para ver las ruinas afuera. Es un gran lugar para visitar y aprender sobre la historia y cómo las comunidades estaban en la cultura maya. Pasamos un par de horas aquí disfrutando de las muchas cosas para leer y ver. Ir temprano en la mañana para vencer el calor, y llevar una botella de agua para mantenerse hidratado. Dos cosas que recomendar antes. 1 - El museo solo toma pesos mexicanos. No se aceptan divisas ni tarjetas de crédito de EE. UU. — 2 - Use spray para insectos. Fuimos en junio, y los insectos estaban picando.",Familia,5,"Roosevelt, UT",2024-08-25,2024-08-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Visita de verano al Museo del Templo Maya (junio de 2023). Fue genial ver muchos artefactos en el museo, leer sobre diferentes templos alrededor de México y usar el sendero para caminar para ver las ruinas afuera. Es un gran lugar para visitar y aprender sobre la historia y cómo las comunidades estaban en la cultura maya. Pasamos un par de horas aquí disfrutando de las muchas cosas para leer y ver. Ir temprano en la mañana para vencer el calor, y llevar una botella de agua para mantenerse hidratado. Dos cosas que recomendar antes. 1 - El museo solo toma pesos mexicanos. No se aceptan divisas ni tarjetas de crédito de EE. UU. — 2 - Use spray para insectos. Fuimos en junio, y los insectos estaban picando."
Tour rápido con muchos artefactos,"Este era un buen museo para un descanso rápido del sol. Tardó una hora en pasar. Muchos artefactos, pero si eres de los que le gusta leer una descripción de todo, ten en cuenta que todas las descripciones están en español. Sin embargo, hay historias generales en inglés en todas las áreas. Las ruinas de San Miguelito detrás del museo es un bonito paseo por un bosque tropical. No esperes grandes ruinas, es más que nada la construcción de los cimientos. Asegúrate de usar spray para insectos. ¡Los mosquitos son feroces allá atrás!",Familia,4,"Gibsonburg, OH",2024-06-25,2024-06-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Tour rápido con muchos artefactos. Este era un buen museo para un descanso rápido del sol. Tardó una hora en pasar. Muchos artefactos, pero si eres de los que le gusta leer una descripción de todo, ten en cuenta que todas las descripciones están en español. Sin embargo, hay historias generales en inglés en todas las áreas. Las ruinas de San Miguelito detrás del museo es un bonito paseo por un bosque tropical. No esperes grandes ruinas, es más que nada la construcción de los cimientos. Asegúrate de usar spray para insectos. ¡Los mosquitos son feroces allá atrás!."
Superó las expectativas muy económico.,"El lugar era simple pero no pagas casi nada, por lo que este lugar definitivamente superó las expectativas. La única queja fue que hubiera sido bueno tener un poco más de inglés, pero no arruinó la experiencia.",Solitario,4,Janet and Shawn M,2024-06-10,2024-06-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Superó las expectativas muy económico. El lugar era simple pero no pagas casi nada, por lo que este lugar definitivamente superó las expectativas. La única queja fue que hubiera sido bueno tener un poco más de inglés, pero no arruinó la experiencia."
Gran experiencia,"El museo muestra el arte y la vida de diferentes culturas mexicanas, incluida la maya. Es fácil moverse y muestra artefactos impresionantes. La entrada es asequible y se puede acceder cómodamente desde la zona hotelera en autobús. La tienda de regalos ofrece souvenirs únicos a precios más bajos que en la zona hotelera. Junto al museo, la calle. Vale la pena visitar el sitio arqueológico de Migelito, que brinda una atmósfera tranquila en medio de ruinas y bosques.",Amigos,5,"San Diego, CA",2024-05-29,2024-05-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Gran experiencia. El museo muestra el arte y la vida de diferentes culturas mexicanas, incluida la maya. Es fácil moverse y muestra artefactos impresionantes. La entrada es asequible y se puede acceder cómodamente desde la zona hotelera en autobús. La tienda de regalos ofrece souvenirs únicos a precios más bajos que en la zona hotelera. Junto al museo, la calle. Vale la pena visitar el sitio arqueológico de Migelito, que brinda una atmósfera tranquila en medio de ruinas y bosques."
Pequeño museo y ruinas,"Un pequeño museo con algunos artefactos mayas interesantes algunos con traducciones al inglés. El museo está arriba, en la planta baja hay algunas esculturas modernas y caminos a un pequeño asentamiento maya y ruinas.",Pareja,4,"Pagosa Springs, CO",2024-05-27,2024-05-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Pequeño museo y ruinas. Un pequeño museo con algunos artefactos mayas interesantes algunos con traducciones al inglés. El museo está arriba, en la planta baja hay algunas esculturas modernas y caminos a un pequeño asentamiento maya y ruinas."
Exposiciones interesantes,"Las exposiciones fueron muy interesantes. Realmente genial ver lo bien conservadas que están algunas cosas. Las descripciones estaban en español así que cepíllate. El museo en sí toma tal vez treinta minutos. También tienen algunas ruinas afuera. ¡Muchas iguanas! El camino también está bastante bien sombreado. Si quieres ver más ruinas, El Rey está a un corto trayecto en autobús por la zona hotelera.",Pareja,5,anonimo,2024-05-24,2024-05-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Exposiciones interesantes. Las exposiciones fueron muy interesantes. Realmente genial ver lo bien conservadas que están algunas cosas. Las descripciones estaban en español así que cepíllate. El museo en sí toma tal vez treinta minutos. También tienen algunas ruinas afuera. ¡Muchas iguanas! El camino también está bastante bien sombreado. Si quieres ver más ruinas, El Rey está a un corto trayecto en autobús por la zona hotelera."
¡Valió la pena!,"Este es un gran museo con algunos artefactos impresionantes. Vale la pena una visita, especialmente antes de salir a visitar otros sitios de importancia. Los jardines con las ruinas eran un punto alto y vi un montón de iguana. La única desventaja como mencionan algunos otros visitantes es no tener exhibiciones en más de un idioma o la capacidad de hacer una gira de audio. Fácil y barato de llegar. Vale una o dos horas.",Solitario,4,"Nelson, Nueva Zelanda",2024-05-05,2024-05-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"¡Valió la pena!. Este es un gran museo con algunos artefactos impresionantes. Vale la pena una visita, especialmente antes de salir a visitar otros sitios de importancia. Los jardines con las ruinas eran un punto alto y vi un montón de iguana. La única desventaja como mencionan algunos otros visitantes es no tener exhibiciones en más de un idioma o la capacidad de hacer una gira de audio. Fácil y barato de llegar. Vale una o dos horas."
Joyas ocultas: ¡obtén algo de cultura mientras estás de vacaciones!,Gran museo con maravillosas exposiciones y explicaciones de la historia de la cultura maya. Precioso paseo exterior a través de algunas ruinas también. Tómese un descanso de la playa y el sol y llegar a esta pequeña joya!,Familia,5,Delaware,2024-05-03,2024-01-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,Joyas ocultas: ¡obtén algo de cultura mientras estás de vacaciones!. Gran museo con maravillosas exposiciones y explicaciones de la historia de la cultura maya. Precioso paseo exterior a través de algunas ruinas también. Tómese un descanso de la playa y el sol y llegar a esta pequeña joya!.
Tómese un tiempo fuera de la playa para la cultura maya,"Pequeño y valioso museo maya en un edificio modernista diseñado por el arquitecto Alberto García Lascurain. Alberga algunos de los artefactos más importantes de Yucatán. El ascensor estaba fuera de servicio, lo que nos obligó a caminar por el largo Guggenheim - como escalera circular. El ambiente es húmedo, haciendo el paseo extenuante. Los artefactos valen la pena, sin embargo, al igual que el video que explica Tulum y el extenso comercio comercial del sur de México prehispánico. ¡Traiga repelente de insectos!",Amigos,4,anonimo,2024-04-30,2024-04-01,Cancun,Museo Maya De Cancun Y Zona Arqueologica De San Miguelito,"Tómese un tiempo fuera de la playa para la cultura maya. Pequeño y valioso museo maya en un edificio modernista diseñado por el arquitecto Alberto García Lascurain. Alberga algunos de los artefactos más importantes de Yucatán. El ascensor estaba fuera de servicio, lo que nos obligó a caminar por el largo Guggenheim - como escalera circular. El ambiente es húmedo, haciendo el paseo extenuante. Los artefactos valen la pena, sin embargo, al igual que el video que explica Tulum y el extenso comercio comercial del sur de México prehispánico. ¡Traiga repelente de insectos!."
